latitude,longitude
34.347908,-119.060758
34.347908,-119.060758
34.347929,-119.060755
34.347942,-119.060772
34.347952,-119.060783
34.347931,-119.060772
34.347954,-119.060758
34.347874,-119.060674
34.347952,-119.060755
34.34794,-119.060755
34.347931,-119.060758
34.347931,-119.060758
34.347931,-119.060758
34.347975,-119.060383
34.348125,-119.060085
34.347975,-119.060383
34.348836,-119.058723
34.348377,-119.059623
34.348721,-119.058936
34.348927,-119.058586
34.347244,-119.061136
34.348941,-119.058552
34.348941,-119.058552
34.348941,-119.058552
34.348941,-119.058552
34.348941,-119.058552
34.348941,-119.058552
34.349023,-119.058266
34.348801,-119.058237
34.342657,-119.06971
34.334793,-119.082044
34.341167,-119.072514
34.334793,-119.082044
34.316895,-119.02756
34.328644,-119.089966
34.315796,-119.097795
34.312637,-119.086304
34.312304,-118.891926
34.313507,-119.065957
34.31547,-119.035664
34.319366,-119.015005
34.348941,-119.058008
34.322617,-119.097178
34.31282,-119.079185
34.314027,-119.055576
34.31456,-119.046338
34.320465,-119.005924
34.322779,-118.987541
34.321848,-118.995609
34.319183,-118.92504
34.324362,-118.97438
34.325199,-118.952465
34.325618,-118.964939
34.322593,-118.939934
34.307007,-118.866913
34.314926,-118.904805
34.309708,-118.879806
34.305927,-118.861771
34.317032,-118.914614
34.299503,-118.830814
34.296523,-118.816853
34.30211,-118.843517
34.294382,-118.806953
34.277623,-118.726673
34.291728,-118.794022
34.289354,-118.78355
34.287027,-118.771534
34.28215,-118.747241
34.280277,-118.738174
34.289354,-118.78355
34.284094,-118.756886
34.27121,-118.693991
34.275192,-118.715011
34.273014,-118.70327
34.264114,-118.66064
34.266451,-118.67157
34.268825,-118.682785
34.259262,-118.636817
34.261842,-118.648968
34.246307,-118.576168
34.254906,-118.616753
34.250977,-118.597468
34.248779,-118.586874
34.256836,-118.625551
34.252252,-118.603821
34.238985,-118.564281
34.226212,-118.550384
34.232574,-118.557222
34.218455,-118.540878
34.219986,-118.517929
34.21756,-118.529252
34.248779,-118.586874
34.222595,-118.461821
34.224609,-118.497694
34.224518,-118.474096
34.222229,-118.508849
34.225479,-118.488446
