latitude,longitude
34.200668,-118.393492
34.202866,-118.396631
34.187576,-118.371127
34.195738,-118.391132
34.192758,-118.387642
34.1895,-118.383751
34.187917,-118.379917
34.188126,-118.365914
34.190012,-118.354626
34.196228,-118.34383
34.192337,-118.348762
34.200943,-118.321577
34.198288,-118.340635
34.202022,-118.334484
34.188721,-118.363224
34.177769,-118.305359
34.182889,-118.30204
34.203093,-118.328991
34.196669,-118.313599
34.193161,-118.308348
34.189407,-118.303699
34.211929,-118.322642
34.172555,-118.322468
34.186241,-118.329906
34.204303,-118.318863
34.172882,-118.309974
34.209549,-118.319279
34.209045,-118.327743
34.212124,-118.328533
34.209091,-118.33133
34.212729,-118.334827
34.212636,-118.330765
34.216593,-118.332138
34.215383,-118.340034
34.212031,-118.329678
34.212031,-118.329678
34.21529,-118.333855
34.216453,-118.329849
34.213074,-118.333292
34.218688,-118.347645
34.224884,-118.363448
34.225021,-118.357731
34.219293,-118.348732
34.225764,-118.362751
34.218109,-118.361991
34.218109,-118.361991
34.211426,-118.360253
34.211426,-118.360253
34.207934,-118.360462
34.212845,-118.437438
34.207901,-118.361318
34.203139,-118.365784
34.205281,-118.372307
34.209412,-118.395118
34.210236,-118.405432
34.211333,-118.42123
34.212021,-118.430207
34.208307,-118.388386
34.212387,-118.474376
34.213428,-118.465691
34.2155,-118.519779
34.211151,-118.489959
34.212067,-118.481607
34.210281,-118.498255
34.213893,-118.512497
34.204514,-118.305041
34.172379,-118.204595
34.166153,-118.209752
34.168691,-118.201618
34.165339,-118.20425
34.205421,-118.359146
34.171949,-118.204536
34.17018,-118.209915
34.165665,-118.207912
34.167294,-118.200989
34.172462,-118.209572
34.165054,-118.206445
34.158691,-118.158127
34.170693,-118.170605
34.174091,-118.204765
34.17316,-118.189716
34.172555,-118.182564
34.167899,-118.164196
34.152328,-118.21659
34.150722,-118.174839
34.151917,-118.205043
34.150864,-118.193945
34.151917,-118.205043
34.160522,-118.242374
34.155991,-118.237946
34.154526,-118.241702
34.157006,-118.244934
34.152786,-118.22539
34.156357,-118.244224
34.205886,-118.353081
34.158449,-118.244133
34.156587,-118.23801
34.159846,-118.23864
34.15533,-118.242588
34.159973,-118.241534
34.158822,-118.237438
34.136719,-118.242038
34.152512,-118.230771
34.147064,-118.231949
34.142029,-118.262721
34.13324,-118.256668
34.210648,-118.348314
34.137082,-118.260841
34.159148,-118.251915
34.154865,-118.26313
34.157227,-118.258349
34.157227,-118.258349
34.161896,-118.241141
34.160339,-118.245962
34.216415,-118.343606
34.184509,-118.230491
34.164082,-118.238239
34.167664,-118.235704
34.157518,-118.269711
34.18927,-118.229594
34.195221,-118.229202
34.222641,-118.340186
34.20002,-118.228569
34.226229,-118.334827
34.222733,-118.241197
34.197327,-118.306218
34.212915,-118.241844
34.208954,-118.237554
34.218796,-118.237498
34.221435,-118.247108
34.226229,-118.334827
34.192945,-118.230114
34.16762,-118.239384
34.163151,-118.271599
34.160934,-118.288786
34.224564,-118.326005
34.15682,-118.324585
34.160777,-118.309593
34.154725,-118.331337
34.222552,-118.318577
34.151642,-118.335926
34.157192,-118.322411
34.172182,-118.301125
34.220993,-118.312945
34.168225,-118.297119
34.158508,-118.307003
34.217897,-118.307076
34.158829,-118.303079
34.192245,-118.306611
34.214126,-118.301525
34.184189,-118.312496
34.187347,-118.31642
34.194946,-118.329368
34.195598,-118.34404
34.207947,-118.290524
34.211014,-118.29568
34.186111,-118.332395
34.183136,-118.337496
34.193298,-118.339177
34.205281,-118.300037
34.204769,-118.290482
34.184798,-118.331509
34.182843,-118.320293
34.20314,-118.294167
34.185333,-118.304032
34.186386,-118.300501
34.193939,-118.302014
34.20813,-118.298035
