latitude,longitude
39.282873,-121.417847
39.282873,-121.417847
39.269326,-121.405823
39.25708,-121.393791
39.263182,-121.400085
39.251357,-121.388
39.214209,-121.349548
39.245305,-121.381958
39.23877,-121.375938
39.226135,-121.363817
39.22175,-121.358337
39.231766,-121.369609
39.208054,-121.343158
39.174779,-121.322083
39.195169,-121.333801
39.180862,-121.325544
39.165756,-121.317364
39.201314,-121.337891
39.188461,-121.329903
39.151689,-121.312378
39.159603,-121.314819
39.134977,-121.309753
39.147546,-121.311462
39.120406,-121.308289
39.128413,-121.309143
39.104919,-121.308468
39.100388,-121.309244
39.083176,-121.312886
39.100388,-121.309244
39.09145,-121.311096
39.077774,-121.314021
39.063147,-121.317078
39.069664,-121.315796
39.115425,-121.307983
39.023624,-121.323975
39.053371,-121.318909
39.039001,-121.321544
39.03273,-121.322439
39.046993,-121.320068
38.959289,-121.331116
39.009798,-121.32605
38.994186,-121.327634
38.979721,-121.328888
38.96683,-121.330261
39.017441,-121.325126
39.003327,-121.32666
38.986588,-121.328351
38.975601,-121.329186
38.96683,-121.330261
38.940714,-121.333069
38.952026,-121.331848
38.945572,-121.33253
38.907848,-121.344482
38.933638,-121.334412
38.913757,-121.340531
38.909291,-121.343018
38.907941,-121.34436
38.933638,-121.334412
38.920578,-121.338023
38.917786,-121.338561
38.911293,-121.341797
38.90836,-121.343933
38.907726,-121.344681
38.907726,-121.344681
38.907726,-121.344681
38.907726,-121.344681
38.907726,-121.344681
38.917531,-121.343628
39.002536,-121.321411
38.917531,-121.343628
39.009239,-121.320496
39.02921,-121.316528
39.018951,-121.318917
39.015384,-121.31958
39.045639,-121.312289
39.032934,-121.315491
39.061331,-121.306091
39.052765,-121.30957
39.059283,-121.306885
39.032934,-121.315491
39.070633,-121.303034
39.089035,-121.300467
39.077298,-121.301758
39.099457,-121.301453
39.099457,-121.301453
39.104438,-121.302551
39.081814,-121.301086
39.131332,-121.309065
39.110413,-121.304288
39.116135,-121.306079
39.141913,-121.310669
39.123804,-121.307983
39.136139,-121.309662
39.149414,-121.312229
39.172032,-121.319214
39.153992,-121.313185
39.160301,-121.314758
39.166122,-121.316469
39.178596,-121.322815
39.184322,-121.326721
39.20105,-121.339456
39.18907,-121.329956
39.192764,-121.33265
39.178596,-121.322815
39.212082,-121.350383
39.205902,-121.344054
39.208923,-121.347099
39.212082,-121.350383
39.212082,-121.350383
39.212082,-121.350383
39.458468,-121.574158
39.212082,-121.350383
39.469666,-121.585096
39.458468,-121.574158
39.212082,-121.350383
39.472434,-121.58783
39.462099,-121.577759
39.458468,-121.574158
39.441238,-121.55763
39.446365,-121.562805
39.426487,-121.542114
39.432399,-121.548279
39.436728,-121.552856
39.410612,-121.525146
39.420364,-121.535897
39.415314,-121.530579
39.398895,-121.511297
39.40654,-121.520492
39.391708,-121.502878
39.40654,-121.520492
39.395416,-121.507237
39.374863,-121.485861
39.381517,-121.492065
39.374863,-121.485861
39.360672,-121.474516
39.37944,-121.490041
39.352469,-121.468079
39.33696,-121.454992
39.348093,-121.464539
39.333848,-121.452271
