latitude,longitude
37.990036,-122.00183
37.992678,-122.004965
37.992166,-122.004786
37.989466,-122.00198
37.989532,-122.002356
37.989233,-122.002457
37.993103,-122.001947
37.991561,-122.000965
37.992864,-122.002099
37.993103,-122.001947
37.990631,-122.001713
37.991501,-122.004869
37.990117,-122.003293
37.98967,-122.002882
37.991364,-122.001362
37.992966,-122.002414
37.992864,-122.004249
37.98967,-122.002882
37.992166,-122.001144
37.990536,-122.001323
37.992957,-122.003771
37.992691,-122.004927
37.99118,-122.000719
37.989853,-122.005044
37.989899,-122.001538
37.991226,-122.005687
37.992188,-122.004869
37.989532,-122.002648
37.992399,-122.001442
37.993423,-122.003114
37.990356,-122.00031
37.990909,-122.00592
37.990071,-122.0061
37.989326,-122.002398
37.993332,-122.002882
37.990356,-122.00031
37.988663,-122.003174
37.988617,-122.002823
37.993562,-122.002517
37.991142,-122.0061
37.993195,-122.000778
37.992416,-122.005745
37.989944,-122.002589
37.991592,-122.000193
37.991561,-121.99983
37.99305,-122.005801
37.989395,-122.003524
37.993562,-122.004487
37.993749,-122.00395
37.989419,-122.004368
37.993749,-122.00395
37.991776,-122.000077
37.992492,-122.004487
37.990952,-121.999142
37.994168,-122.001203
37.989186,-122.004069
37.99319,-122.004965
37.989578,-122.000018
37.992771,-121.999651
37.989745,-122.005562
37.993888,-122.002875
37.989047,-122.001084
37.991002,-121.99977
37.990676,-122.0061
37.991002,-121.99977
37.993842,-122.002696
37.991933,-122.005741
37.990448,-122.000135
37.993469,-122.002823
37.991188,-122.005562
37.990265,-122.000544
37.993103,-122.001771
37.989029,-122.004459
37.993423,-122.002278
37.990211,-122.000248
37.993423,-122.002278
37.993749,-122.003413
37.989652,-122.005084
37.98967,-122.002706
37.991095,-122.006219
37.990862,-122.000009
37.993702,-122.003592
37.993376,-122.004189
37.99049,-122.000845
37.990536,-122.002935
37.989792,-122.004607
37.989652,-122.004846
37.993286,-122.004927
37.991933,-122.015951
37.992585,-122.004129
37.992166,-122.012727
37.990219,-122.041275
37.991793,-121.99977
37.991002,-122.029266
37.985555,-122.082884
37.987839,-122.068391
37.990071,-122.044671
37.990071,-122.044671
37.983414,-122.093154
37.979233,-122.122504
37.982117,-122.101642
37.977129,-122.140204
37.979233,-122.122504
37.980377,-122.114381
37.976291,-122.171611
37.976338,-122.148743
37.976012,-122.161043
37.976578,-122.179539
37.975872,-122.218781
37.976431,-122.199316
37.976807,-122.189474
37.976349,-122.240782
37.976105,-122.206899
37.977768,-122.248847
37.975754,-122.228686
37.985229,-122.287505
37.983879,-122.278907
37.979829,-122.259084
37.981522,-122.267021
37.985229,-122.287505
37.994214,-122.324345
37.986969,-122.296707
37.992188,-122.316869
37.994522,-122.352983
37.997147,-122.337122
37.99791,-122.344568
37.989349,-122.305999
37.977493,-122.374313
37.989885,-122.35808
37.974941,-122.37862
37.969757,-122.385358
37.969757,-122.385358
37.98225,-122.366977
37.94026,-122.38465
37.960231,-122.38871
37.946228,-122.386001
37.955157,-122.388352
37.924301,-122.352574
37.925903,-122.363268
37.93396,-122.380917
37.928787,-122.371683
37.94282,-122.355572
37.928467,-122.347782
37.935883,-122.349944
37.94282,-122.355572
37.956802,-122.370339
37.957996,-122.36208
37.961334,-122.369287
37.950119,-122.360405
37.976944,-122.361749
37.968052,-122.371276
37.972986,-122.367693
37.987324,-122.344526
37.982716,-122.352288
37.961243,-122.367534
38.004364,-122.310733
37.994773,-122.32948
38.000452,-122.318195
37.991501,-122.336153
38.017676,-122.286131
38.012878,-122.294253
38.022034,-122.279877
38.008392,-122.302551
38.039337,-122.26258
38.027802,-122.270586
38.022034,-122.279877
38.034576,-122.269651
38.030897,-122.264457
38.039932,-122.267313
38.034805,-122.260418
38.036362,-122.260885
38.038858,-122.256636
38.036545,-122.258022
38.025078,-122.26595
38.036577,-122.261114
38.036623,-122.261173
38.013519,-122.279585
38.029312,-122.265151
38.013519,-122.279585
38.013519,-122.279585
38.017181,-122.274209
38.013519,-122.279585
37.988442,-122.320344
38.000336,-122.299512
38.000336,-122.299512
37.96669,-122.346964
37.969666,-122.337205
37.985458,-122.321485
37.9758,-122.323764
37.962845,-122.356957
37.958038,-122.36397
37.961197,-122.364086
37.961655,-122.364262
37.958038,-122.36397
37.958038,-122.36397
37.958084,-122.365898
37.961115,-122.365603
37.962158,-122.365021
37.960144,-122.367008
37.957996,-122.364767
37.958084,-122.365021
37.962341,-122.365255
37.959253,-122.364528
37.958695,-122.362379
37.959503,-122.360405
37.958817,-122.367534
37.958817,-122.367534
37.961792,-122.365664
37.957577,-122.363633
37.957672,-122.364379
37.958741,-122.367753
37.957345,-122.364528
37.961441,-122.36417
37.958084,-122.360405
37.958555,-122.362439
37.958555,-122.362439
37.958908,-122.363093
37.958881,-122.367096
37.957214,-122.364788
37.957306,-122.365314
37.961581,-122.365782
37.958136,-122.367096
37.960327,-122.367885
37.95809,-122.362737
37.957443,-122.366015
37.960236,-122.367125
37.957581,-122.364671
37.958405,-122.366365
37.957718,-122.364086
37.96019,-122.36695
37.959091,-122.367768
37.959091,-122.367768
37.957581,-122.364671
37.957306,-122.364086
37.962296,-122.364554
37.960739,-122.36695
37.958084,-122.36619
37.958267,-122.362275
37.957397,-122.365021
37.960236,-122.368235
37.959812,-122.365484
37.966422,-122.343272
37.959549,-122.364788
37.961907,-122.35396
37.983554,-122.309239
37.970472,-122.334316
37.973694,-122.326511
37.977676,-122.318797
37.992508,-122.291331
37.99603,-122.283803
37.986145,-122.304129
37.997314,-122.282741
37.998184,-122.279235
37.998184,-122.279235
38.006085,-122.264278
37.994773,-122.278668
38.005852,-122.275981
38.007294,-122.238386
38.00592,-122.260242
38.006241,-122.248496
38.001942,-122.279026
38.007614,-122.198532
38.007294,-122.238386
38.007294,-122.238386
38.007294,-122.238386
38.0056,-122.166625
38.006561,-122.179306
38.007435,-122.194061
38.004968,-122.152445
38.0056,-122.116368
38.005142,-122.125835
38.005051,-122.138049
38.006644,-122.101991
38.00939,-122.078048
38.007706,-122.092292
38.011066,-122.052851
