latitude,longitude
33.23465,-117.911206
33.23465,-117.911206
33.226593,-117.904285
34.11232,-118.036213
33.21856,-117.897034
33.209747,-117.889233
33.203659,-117.884344
33.196121,-117.878704
33.188599,-117.873193
33.177826,-117.865476
33.170425,-117.860655
33.161224,-117.854297
33.15358,-117.848749
33.15358,-117.848749
33.13559,-117.834576
33.12941,-117.828918
33.129366,-117.820129
33.138428,-117.821613
34.112595,-118.048096
33.14375,-117.831676
33.147847,-117.839412
33.147847,-117.839412
33.153717,-117.850616
33.159805,-117.861163
33.159805,-117.861163
33.168423,-117.876631
33.174754,-117.88885
33.179549,-117.898715
33.184479,-117.908734
33.189606,-117.918732
33.194492,-117.928367
33.198303,-117.93576
33.202918,-117.945127
34.112502,-118.057594
33.208551,-117.957402
33.20762,-117.967884
33.194725,-117.97007
33.187137,-117.964521
33.187137,-117.964521
33.178339,-117.957963
34.224152,-117.36756
33.170197,-117.952295
33.161591,-117.947351
33.152921,-117.942997
33.144681,-117.939185
34.112595,-118.071918
33.139747,-117.937055
33.139747,-117.937055
33.120804,-117.926642
33.109814,-117.919287
33.109814,-117.919287
33.097803,-117.910823
33.087329,-117.903816
33.078049,-117.897858
33.068161,-117.891376
33.059921,-117.885773
34.112915,-118.083353
33.052094,-117.880939
33.038589,-117.872931
33.038589,-117.872931
33.026825,-117.865997
33.9424,-118.298035
33.019921,-117.861664
33.01089,-117.85533
33.01181,-117.843256
33.022621,-117.840533
33.033561,-117.850958
33.036634,-117.855723
34.112409,-118.096218
33.044873,-117.869848
33.049761,-117.879041
33.054886,-117.888629
33.054886,-117.888629
33.062485,-117.903131
33.067358,-117.913009
33.071827,-117.922257
33.076855,-117.931955
33.082581,-117.942242
33.082581,-117.942242
33.092743,-117.958887
34.112549,-118.10583
33.092743,-117.958887
33.106796,-117.970038
33.110184,-117.964105
33.106247,-117.954437
33.100596,-117.948042
33.090075,-117.938288
33.083744,-117.93358
33.075806,-117.928674
33.066879,-117.923071
33.058914,-117.917358
34.11264,-118.118666
33.048431,-117.910547
33.048431,-117.910547
33.028656,-117.900165
33.016663,-117.894399
33.006546,-117.890112
32.996658,-117.887146
32.996658,-117.887146
32.983611,-117.883861
32.973183,-117.877303
34.112642,-118.130665
32.966572,-117.871698
32.963516,-117.869073
32.95253,-117.8599
32.943604,-117.852704
32.936081,-117.845914
32.929276,-117.83974
32.91881,-117.830331
32.912613,-117.820294
32.914108,-117.809423
32.920765,-117.801688
34.112549,-118.140807
32.932755,-117.801947
32.938843,-117.805243
