latitude,longitude
9.091093,-79.37627
9.015747,-78.901665
9.087204,-79.37864
9.096726,-79.26157
9.098588,-79.25707
9.100525,-79.36747
9.100433,-79.252716
9.10524,-79.241776
9.108272,-79.235245
9.112368,-79.22672
9.101661,-79.36377
9.120758,-79.20933
9.090088,-79.32599
9.084902,-79.31234
9.084716,-79.30732
9.098867,-79.34847
9.084716,-79.30732
9.097797,-79.34558
9.086811,-79.293304
9.086811,-79.293304
9.09288,-79.27157
9.092117,-79.3309
9.122749,-79.20489
9.125682,-79.08243
9.12616,-79.19718
9.129592,-79.189735
9.134674,-79.179115
9.138205,-79.17108
9.136963,-79.15468
9.135597,-79.14655
9.13462,-79.14134
9.133269,-79.13452
9.129778,-79.11639
9.129778,-79.11639
9.129266,-79.1125
9.128661,-79.10738
9.126287,-79.08764
9.117783,-79.00478
9.114807,-78.98053
9.113937,-78.973076
9.113112,-78.965225
9.113112,-78.965225
9.111786,-78.951294
9.111145,-78.943794
9.109761,-78.9192
9.109435,-78.91286
9.123871,-79.06148
9.109016,-78.905136
9.10897,-78.88951
9.12291,-79.047005
9.10936,-78.88472
9.113434,-78.850555
9.114212,-78.84292
9.115219,-78.828674
9.115494,-78.82258
9.116501,-78.80088
9.11673,-78.795944
9.117645,-78.779236
9.112701,-78.85693
9.122452,-79.04165
9.121674,-79.03392
9.118838,-78.70298
9.119071,-78.76686
9.118652,-78.68953
9.120255,-79.022934
9.118792,-78.68166
9.118559,-78.669495
9.117861,-78.65453
9.119071,-78.76686
9.122423,-78.75038
9.122589,-78.73673
9.117096,-78.6406
9.121864,-78.73054
9.119156,-79.01525
9.120561,-78.72135
9.088161,-78.50787
9.111786,-78.571846
9.103569,-78.54988
9.101195,-78.54443
9.097961,-78.53679
9.11673,-78.633385
9.116557,-78.628204
9.115952,-78.60476
9.115208,-78.59226
9.113205,-78.57803
9.097961,-78.53679
9.095143,-78.52961
9.084824,-78.49652
9.083086,-78.49097
9.064419,-78.43907
9.074242,-78.46654
9.061719,-78.4305
9.058456,-78.42069
9.053061,-78.40928
9.070983,-78.45787
9.048545,-78.40076
9.066376,-78.44495
9.041885,-78.39038
9.033646,-78.3793
8.972385,-78.29374
9.026013,-78.36903
9.026013,-78.36903
9.011024,-78.34696
9.011024,-78.34696
8.999542,-78.32856
8.996313,-78.32357
8.995331,-78.32209
8.983246,-78.306915
8.92169,-78.2469
8.967865,-78.289085
8.92169,-78.2469
8.92169,-78.2469
8.882679,-78.209305
8.904053,-78.22959
8.869263,-78.19645
8.956741,-78.27903
8.86471,-78.192116
8.863861,-78.19128
8.845413,-78.1734
8.90094,-78.22657
8.90094,-78.22657
8.840456,-78.16858
8.942638,-78.26698
8.938076,-78.262764
8.753677,-78.08551
8.790505,-78.12084
8.785217,-78.115585
8.772257,-78.10294
8.770954,-78.10166
8.753677,-78.08551
8.829025,-78.15758
8.822534,-78.151436
8.819229,-78.14836
8.804718,-78.134674
8.716301,-78.04971
8.753677,-78.08551
8.701684,-78.03565
8.696411,-78.03049
8.682678,-78.01722
8.739298,-78.07183
8.734829,-78.067474
8.6548,-77.99064
8.651501,-77.9874
8.720305,-78.053505
8.639236,-77.97551
8.680828,-78.01548
8.667069,-78.002464
8.618088,-77.95531
8.606186,-77.94399
8.595033,-77.93322
8.636883,-77.97328
8.622592,-77.95955
8.595033,-77.93322
8.589586,-77.92796
8.504814,-77.8468
8.542923,-77.88357
8.576431,-77.915276
8.572083,-77.91111
8.559952,-77.89973
8.55537,-77.89543
8.54187,-77.88255
8.521526,-77.8629
8.497227,-77.83946
8.512961,-77.854614
8.490244,-77.83279
8.463181,-77.8069
8.453235,-77.797554
8.480026,-77.823006
8.44931,-77.793816
8.476685,-77.8197
8.44931,-77.793816
8.430424,-77.77572
8.373596,-77.72138
8.425489,-77.77099
8.414566,-77.76063
8.403534,-77.75029
8.333083,-77.683426
8.322144,-77.67269
8.396069,-77.743286
8.388574,-77.73613
8.36823,-77.71629
8.361969,-77.71053
8.38028,-77.72794
8.31665,-77.66738
8.307907,-77.65896
8.294119,-77.645966
8.361969,-77.71053
8.141739,-77.50049
8.273712,-77.62669
8.264,-77.617226
8.264,-77.617226
8.188073,-77.54477
8.184174,-77.541084
8.107165,-77.467255
8.097995,-77.45854
8.093432,-77.45423
8.290741,-77.6428
8.2775,-77.63034
8.2775,-77.63034
8.173083,-77.53052
8.162795,-77.52067
8.160828,-77.51874
8.13446,-77.493645
8.086636,-77.44765
8.086636,-77.44765
8.13446,-77.493645
8.086636,-77.44765
8.13446,-77.493645
8.028399,-77.47919
7.994881,-77.4467
7.994881,-77.4467
8.057866,-77.50741
8.068062,-77.51707
8.009731,-77.461044
8.012695,-77.464
8.012695,-77.464
8.104512,-77.55197
8.10791,-77.555145
8.118897,-77.56594
8.153275,-77.59914
8.164719,-77.609985
8.176758,-77.62176
8.071041,-77.51991
8.085434,-77.53391
8.090836,-77.53918
8.123365,-77.57034
8.136726,-77.58327
8.150227,-77.59615
8.153275,-77.59914
8.181473,-77.626274
8.183651,-77.6283
8.183651,-77.6283
8.183651,-77.6283
8.040619,-77.49067
8.053584,-77.50329
8.238831,-77.68134
8.253153,-77.69517
8.258606,-77.700386
8.269773,-77.71089
8.220287,-77.663445
8.234756,-77.67748
8.334778,-77.77366
8.305618,-77.74568
8.277314,-77.71823
8.277314,-77.71823
8.294957,-77.73523
8.301428,-77.74153
8.36554,-77.80322
8.374145,-77.81169
8.312393,-77.75215
8.325961,-77.76502
8.374145,-77.81169
8.394058,-77.83069
8.347961,-77.78637
8.354645,-77.79275
8.361108,-77.79893
8.430564,-77.86584
8.436264,-77.87133
8.433962,-77.8691
8.436264,-77.87133
8.474323,-77.90798
8.477581,-77.91111
8.492944,-77.92607
8.397354,-77.833855
8.410675,-77.84666
8.412872,-77.84875
8.45755,-77.89167
8.496202,-77.92915
8.528824,-77.96056
8.46073,-77.89477
8.532211,-77.96392
8.50882,-77.940926
8.515869,-77.947624
8.604297,-78.03366
8.569153,-77.99967
8.534271,-77.96601
8.551228,-77.982376
8.566822,-77.99739
8.571105,-78.0016
8.604297,-78.03366
8.591262,-78.02074
8.615236,-78.044365
8.618495,-78.04744
8.609802,-78.0391
8.679153,-78.10604
8.665649,-78.09273
8.673473,-78.10039
8.673473,-78.10039
8.695221,-78.121826
8.709915,-78.13579
8.713165,-78.138954
