latitude,longitude
37.565,-121.99803
37.565,-121.99803
37.56547,-121.99308
37.56719,-121.98466
37.56921,-121.97822
37.57027,-121.97284
37.57329,-121.96663
37.57681,-121.96297
37.58148,-121.96347
37.58199,-121.9726
37.57773,-121.97699
37.57739,-121.9732
37.57739,-121.9732
37.5856,-121.9729
37.58949,-121.9723
37.5932,-121.97191
37.59726,-121.97207
37.60029,-121.97159
37.60308,-121.97039
37.60308,-121.97039
37.60268,-121.9649
37.59768,-121.95786
37.59768,-121.95786
37.58935,-121.94663
37.58167,-121.94167
37.57776,-121.93964
37.56835,-121.93535
37.56097,-121.9327
37.55251,-121.93024
37.54601,-121.92831
37.53873,-121.92604
37.53612,-121.92522
37.52622,-121.92173
37.51366,-121.91779
37.50686,-121.91576
37.50686,-121.91576
37.5009,-121.9111
37.50141,-121.90627
37.50597,-121.90609
37.51135,-121.90944
37.51648,-121.91447
37.51913,-121.91762
37.51913,-121.91762
37.52957,-121.92896
37.53349,-121.93254
37.53964,-121.93761
37.54322,-121.94138
37.54907,-121.94964
37.55648,-121.95929
37.53349,-121.93254
37.56123,-121.96544
37.56816,-121.97244
37.56816,-121.97244
37.55285,-121.95451
37.57919,-121.98132
37.58446,-121.98622
37.58912,-121.99093
37.57548,-121.97845
37.59368,-121.99493
37.60206,-122.00192
37.60858,-122.00771
37.60066,-122.00067
37.61751,-122.01506
37.61751,-122.01506
37.61494,-122.01293
37.63073,-122.0267
37.63486,-122.03046
37.62621,-122.02263
37.64484,-122.0387
37.64484,-122.0387
37.65182,-122.04437
37.63994,-122.03415
37.66043,-122.05034
37.66565,-122.05422
37.65182,-122.04437
37.67356,-122.06163
37.68118,-122.07009
37.68361,-122.07312
37.66937,-122.0574
37.69313,-122.08937
37.69473,-122.09182
37.70713,-122.10826
37.70952,-122.11128
37.68883,-122.08181
37.7211,-122.11818
37.72742,-122.12175
37.71537,-122.11554
37.69473,-122.09182
37.73343,-122.1377
37.73424,-122.14652
37.72742,-122.12175
37.73166,-122.13035
37.7351,-122.17346
37.73501,-122.18296
37.73441,-122.1494
37.73506,-122.18946
37.73552,-122.19991
37.73936,-122.2042
37.73501,-122.1651
37.73995,-122.20738
37.74432,-122.21359
37.74454,-122.21676
37.74454,-122.21676
37.74266,-122.208
37.73703,-122.21332
37.73995,-122.21466
37.73987,-122.21776
37.74261,-122.21098
37.75269,-122.20882
37.73981,-122.21585
37.75936,-122.21568
37.75936,-122.21568
