latitude,longitude
34.085037,-118.034475
34.051529,-118.017883
34.085036,-118.034477
34.082383,-118.036938
34.051712,-118.018612
34.084717,-118.034979
34.084946,-118.034867
34.089133,-118.032475
34.090576,-118.031616
34.089226,-118.033047
34.087372,-118.034083
34.088928,-118.033186
34.088928,-118.033186
34.082383,-118.036938
34.088928,-118.033186
34.066452,-117.999498
34.081964,-118.037281
34.085549,-118.035164
34.089157,-118.033074
34.082942,-118.036652
34.088435,-118.033447
34.081545,-118.031273
34.078333,-118.039284
34.086712,-118.033791
34.078892,-118.042488
34.082932,-118.039239
34.087646,-118.036605
34.086154,-118.032703
34.085037,-118.034475
34.085036,-118.034477
34.085037,-118.034475
34.085037,-118.034475
34.085036,-118.034477
34.085921,-118.033104
34.083344,-118.029206
34.086823,-118.033466
34.062973,-118.032457
34.118321,-117.963467
34.098221,-117.997312
34.07222,-118.026235
34.092764,-117.96833
34.077588,-117.998486
34.072998,-118.024441
34.070745,-118.023834
34.072449,-118.026347
34.071762,-118.027076
34.070343,-118.025563
34.073135,-118.025563
34.07149,-118.02681
34.071991,-118.026628
34.071257,-118.026695
34.073026,-118.025494
34.071629,-118.026924
34.070297,-118.024666
34.07256,-118.025894
34.073135,-118.024834
34.080002,-118.02461
34.070279,-118.025436
34.072188,-118.023605
34.072747,-118.024921
34.071304,-118.02674
34.070931,-118.02372
34.077484,-118.002805
34.077681,-118.029041
34.062831,-118.030186
34.073547,-118.010428
34.084167,-118.022648
34.081604,-118.031953
34.064926,-118.032475
34.059082,-118.021471
34.054452,-118.023262
34.054778,-118.015823
34.075912,-118.033676
34.059357,-118.029542
34.063483,-118.015537
34.073273,-118.00785
34.08696,-117.97377
34.08316,-117.981393
34.091995,-117.968949
34.104123,-117.918892
34.122894,-117.953255
34.120514,-117.963905
34.108871,-117.959518
34.096442,-117.966156
34.114737,-117.959175
34.12307,-117.956772
34.117437,-117.9669
34.105985,-117.953281
34.104681,-117.94138
34.091904,-117.97831
34.10403,-117.928333
34.094559,-117.939578
34.092682,-117.958019
34.106869,-117.923985
34.092857,-117.953339
34.091629,-117.998769
34.091537,-118.011157
34.092773,-118.024329
34.091926,-118.018169
34.088295,-118.033333
34.08934,-118.033018
34.092671,-118.031101
34.086666,-118.033562
34.087051,-118.033634
34.086594,-118.033578
34.065252,-117.937489
34.086666,-118.033562
34.086666,-118.033562
34.086666,-118.033791
34.114014,-117.936551
34.089615,-117.937896
34.075058,-117.938849
34.079178,-118.03795
34.072449,-118.017883
34.071257,-118.028755
34.060224,-118.033333
34.072048,-118.036652
34.059898,-118.014908
34.052124,-118.019116
34.080093,-117.983915
34.074188,-118.005327
34.083344,-117.94849
34.078147,-117.964611
34.079776,-117.939491
34.075516,-117.953759
34.075516,-117.953759
34.068231,-117.994022
34.068836,-117.980976
34.063614,-117.991595
34.07373,-118.014744
34.078445,-117.993837
34.079124,-117.986183
34.073352,-118.022289
34.071579,-118.026852
34.07959,-118.064919
34.084671,-118.042715
34.070885,-118.070641
34.085362,-118.054619
34.026613,-118.103714
34.043605,-118.086834
34.051612,-118.079967
34.016556,-118.109978
34.023926,-118.198149
34.024425,-118.148289
34.009529,-118.15527
34.018433,-118.199382
34.02182,-118.132455
34.025024,-118.142713
34.004608,-118.175055
34.047775,-118.003926
34.04165,-118.182564
34.071487,-118.144562
34.076797,-118.117619
34.072998,-117.954488
34.048586,-118.168316
34.080335,-118.086319
34.04599,-117.992323
34.02261,-117.962437
34.031342,-117.971752
34.041557,-117.981892
34.012207,-117.933972
34.016093,-117.952251
34.030105,-117.93726
34.015961,-117.921248
34.012985,-117.939578
34.031387,-117.940755
34.016651,-117.920837
34.027405,-117.931002
34.033997,-117.949387
34.043335,-117.96525
34.035736,-117.954712
34.047043,-117.969286
34.053955,-117.979711
34.050751,-117.974442
34.053955,-117.979711
34.061714,-117.998199
34.05661,-117.9847
34.065997,-118.015823
34.066772,-118.028645
34.063343,-118.003979
34.066555,-118.022976
34.078949,-118.048993
34.071625,-118.040529
34.068604,-118.057709
34.080231,-118.051739
34.059759,-118.041458
34.066229,-118.051643
34.069519,-118.052636
34.072793,-118.040829
34.064529,-118.045517
34.068231,-118.065033
34.076294,-118.028645
34.07959,-117.976236
34.099421,-117.94035
34.082657,-117.951405
34.104588,-117.952366
34.102295,-117.967324
34.079823,-118.016052
34.097763,-117.977077
34.089319,-117.982063
34.063483,-117.986698
34.075493,-117.978916
34.066406,-117.981673
34.082802,-118.067551
34.086177,-118.032646
34.093881,-118.035221
34.048096,-118.159192
34.049423,-118.161995
34.048325,-118.1588
34.048027,-118.162251
34.047469,-118.161964
34.048599,-118.161939
34.048633,-118.162136
34.047795,-118.159046
34.04837,-118.159416
34.046631,-118.160481
34.046677,-118.161106
34.04691,-118.159275
34.048828,-118.158576
34.047888,-118.162079
34.060822,-118.138845
34.050774,-118.159218
34.046352,-118.160477
34.048307,-118.162251
34.049191,-118.160992
34.048958,-118.159447
34.061371,-118.042098
34.047775,-118.15667
34.051612,-118.134842
34.058734,-118.086662
34.056128,-118.107948
34.061388,-118.038025
34.061481,-118.039398
34.061202,-118.0406
34.053497,-118.056896
34.058258,-118.040865
34.043106,-118.119395
34.046814,-118.08851
34.048187,-118.157286
34.04975,-118.160877
34.048865,-118.162079
34.046584,-118.160305
34.049332,-118.161322
34.049983,-118.074303
34.044022,-118.104821
34.042395,-118.134899
34.042511,-118.145347
34.048679,-118.161621
34.048187,-118.158239
34.047272,-118.158632
34.046957,-118.159676
34.047795,-118.158531
34.04975,-118.160419
34.049835,-118.158912
34.04892,-118.158407
34.047638,-118.158688
