latitude,longitude
36.766864,-119.775287
36.766864,-119.775287
36.770309,-119.771956
36.767051,-119.774293
36.767656,-119.7688
36.770821,-119.770787
36.77092,-119.771118
36.77092,-119.771118
36.771194,-119.77067
36.771194,-119.77067
36.767029,-119.774151
36.770356,-119.77178
36.770356,-119.77178
36.770356,-119.77178
36.770356,-119.77178
36.768814,-119.767456
36.772404,-119.771371
36.772404,-119.771371
36.771011,-119.776154
36.771011,-119.776154
36.771011,-119.776154
36.771011,-119.776154
36.771011,-119.776154
36.76165,-119.784228
36.76165,-119.784228
36.777283,-119.753151
36.78083,-119.756294
36.788498,-119.761276
36.793446,-119.762606
36.803687,-119.764242
36.813649,-119.765703
36.803687,-119.764242
36.817612,-119.766083
36.817612,-119.766083
36.817612,-119.766083
36.880188,-119.769385
36.880188,-119.769385
36.880188,-119.769385
36.880188,-119.769385
36.86998,-119.729822
36.880188,-119.769385
36.870443,-119.731153
36.857254,-119.72503
36.866952,-119.726914
36.864717,-119.730198
36.851074,-119.723803
36.86998,-119.729822
36.840324,-119.718485
36.834412,-119.714394
36.86998,-119.729822
36.831985,-119.712353
36.831985,-119.712353
36.821136,-119.705887
36.845724,-119.721699
36.813217,-119.700565
36.810287,-119.695702
36.816559,-119.703484
36.826917,-119.708843
36.804898,-119.677403
36.807085,-119.689558
36.797496,-119.666768
36.804199,-119.66069
36.797496,-119.666768
36.801034,-119.671443
36.805984,-119.686146
36.809553,-119.663904
36.794861,-119.660397
36.817606,-119.674131
36.799759,-119.658737
36.819794,-119.682663
36.820958,-119.68839
36.824868,-119.709661
36.822355,-119.695051
36.81395,-119.668522
36.825241,-119.716148
36.823751,-119.701597
36.825302,-119.722996
36.823006,-119.736484
36.825241,-119.716148
36.820496,-119.74926
36.823471,-119.735584
36.814178,-119.754696
36.80159,-119.755554
36.82077,-119.74371
36.77623,-119.753494
36.814178,-119.754696
36.77623,-119.753494
36.795773,-119.755593
36.784415,-119.741626
36.77623,-119.753494
36.782459,-119.754833
36.787491,-119.750919
36.792526,-119.766254
36.787491,-119.750919
36.789871,-119.758072
36.79541,-119.774208
36.837479,-119.907131
36.801173,-119.790481
36.801173,-119.790481
36.830521,-119.885159
36.79541,-119.774208
36.830521,-119.885159
36.830521,-119.885159
36.852631,-119.941835
36.844281,-119.928277
36.847092,-119.933968
36.840184,-119.917758
36.854919,-119.948321
36.855453,-119.960612
36.855453,-119.960612
36.855148,-119.951477
36.856058,-119.973927
36.855314,-119.958761
36.856477,-120.005215
36.856058,-119.985988
36.856152,-119.978585
36.856477,-120.005215
36.856476,-120.009389
36.856477,-120.028381
36.856613,-120.014473
36.856842,-120.036095
36.85675,-120.033641
36.856522,-120.018505
36.857036,-120.038711
36.85643,-120.024466
36.857036,-120.038711
36.857483,-120.048484
36.857688,-120.052862
36.857346,-120.043926
36.8535,-120.058769
36.857176,-120.059012
36.8535,-120.058769
36.862427,-120.051873
36.855148,-120.055146
36.889436,-120.04922
36.869064,-120.050822
36.877472,-120.050294
36.947859,-120.059489
36.90303,-120.048443
36.884537,-120.050003
36.894511,-120.047727
36.906052,-120.048718
36.899048,-120.047666
36.963641,-120.058833
36.912433,-120.048921
36.917908,-120.050646
36.91518,-120.049697
36.909668,-120.048776
36.927109,-120.04977
36.917908,-120.050646
36.922861,-120.050175
36.922861,-120.050175
36.930309,-120.050055
36.949396,-120.052683
36.941162,-120.050296
36.943623,-120.050354
36.932144,-120.050296
36.946882,-120.056803
36.950699,-120.056743
36.947859,-120.059489
36.95787,-120.059938
36.958985,-120.054474
36.950978,-120.052265
36.954208,-120.051698
36.959244,-120.054328
36.953293,-120.058477
36.953293,-120.055087
36.963641,-120.058833
36.962769,-120.059237
36.962291,-120.058534
36.963641,-120.058833
36.962769,-120.059237
36.959404,-120.059191
36.963089,-120.067301
36.963089,-120.067301
36.952282,-120.058892
36.961127,-120.059609
36.961127,-120.059609
36.963089,-120.067301
36.947479,-120.052808
36.948441,-120.054152
36.944412,-120.04901
36.931101,-120.036681
36.928162,-120.033991
36.934753,-120.039835
36.92482,-120.031011
36.939972,-120.044802
36.915619,-120.020843
36.920254,-120.026769
36.918137,-120.024232
36.911453,-120.016869
36.902052,-120.006528
36.899139,-120.003721
36.891485,-119.995004
36.92482,-120.031011
36.855789,-119.959541
36.895203,-119.999396
36.875244,-119.97941
36.885544,-119.988351
36.882267,-119.985332
36.875244,-119.97941
36.860248,-119.964613
36.852893,-119.956791
36.852893,-119.956791
36.842926,-119.943867
36.851031,-119.955239
36.839998,-119.938504
36.831528,-119.926014
36.836609,-119.93288
36.798294,-120.022659
36.828313,-119.914836
36.830175,-119.923427
36.830175,-119.923427
36.835419,-119.914799
36.832131,-119.912441
36.834457,-119.925156
36.834457,-119.925156
36.754295,-120.059237
36.831944,-119.922258
36.839858,-119.929621
36.839858,-119.933244
36.838601,-119.963165
36.836838,-119.921494
36.875244,-119.97941
36.875244,-119.97941
36.839067,-119.942536
36.839401,-119.938717
36.747711,-120.042973
36.838852,-119.944839
36.838601,-119.963165
36.838974,-119.953522
36.838974,-119.953522
36.838601,-119.963165
36.820541,-120.00246
36.819329,-119.990397
36.820027,-119.996065
36.820027,-119.996065
36.820862,-120.010071
36.813463,-120.023765
36.820911,-120.016577
36.819049,-120.020434
36.799218,-120.015291
36.802244,-120.021895
36.813463,-120.023765
36.802291,-120.012194
36.804385,-120.017161
36.798294,-120.022659
36.799404,-120.022304
36.798294,-120.022659
36.784554,-120.024232
36.754575,-120.033115
36.775011,-120.023063
36.781036,-120.024204
36.77152,-120.022479
36.768768,-120.022545
36.761948,-120.022831
36.761278,-120.022888
36.750571,-120.023589
36.761278,-120.022888
36.745124,-120.018388
36.755035,-120.039425
36.753525,-120.025864
36.754016,-120.060288
36.750943,-120.019323
36.747685,-120.064671
36.755035,-120.039425
36.744873,-120.057907
36.751694,-120.064888
36.744873,-120.057907
36.750804,-120.06473
36.752573,-120.054854
36.746338,-120.054932
36.745743,-120.062256
36.749268,-120.054503
36.75325,-120.05785
36.74675,-120.053329
36.74694,-120.06099
36.746521,-120.056076
36.751781,-120.063035
36.747299,-120.011387
36.748444,-120.029297
36.748197,-120.036212
36.748104,-120.023765
36.747824,-120.017804
36.747711,-120.042973
36.747025,-120.002918
36.7468,-119.991975
36.746614,-119.98391
36.745869,-119.948438
36.74573,-119.959366
36.746246,-119.927044
36.746979,-119.918747
36.745789,-119.962521
36.745926,-119.93969
36.745926,-119.93969
36.747757,-119.910793
36.748337,-119.901337
36.748398,-119.896202
36.748169,-119.873486
36.746017,-119.881611
36.748169,-119.873486
36.747253,-119.889336
36.748169,-119.873486
36.760859,-119.851256
36.748169,-119.873486
36.760254,-119.855639
36.760859,-119.851256
36.760859,-119.851256
36.756271,-119.803391
36.756271,-119.803391
36.756271,-119.803391
36.811707,-119.871883
36.754807,-119.789886
36.754807,-119.789886
36.760437,-119.76265
36.809553,-119.885501
36.754807,-119.789886
36.760437,-119.76265
36.811615,-119.875259
36.809553,-119.885501
36.806992,-119.894442
36.811707,-119.871883
36.792755,-119.915085
36.806992,-119.894442
