latitude,longitude
33.67561,-117.937832
33.686966,-117.942661
33.677124,-117.94395
33.686966,-117.942661
33.681976,-117.944959
33.686037,-117.926559
33.69167,-117.919979
33.689667,-117.92293
33.683104,-117.929249
33.677994,-117.932123
33.665182,-117.933025
33.674818,-117.933254
33.665182,-117.933025
33.670303,-117.933468
33.650983,-117.936687
33.660782,-117.9333
33.655313,-117.935314
33.64325,-117.936495
33.645721,-117.936327
33.64325,-117.936495
33.631439,-117.940418
33.637024,-117.938961
33.626633,-117.945519
33.629288,-117.941596
33.630128,-117.953739
33.626633,-117.945519
33.627149,-117.950706
33.640961,-117.94664
33.635056,-117.953983
33.637018,-117.943382
33.638763,-117.951965
33.624123,-117.938175
33.63176,-117.94238
33.629105,-117.940979
33.620865,-117.936327
33.62352,-117.927975
33.620865,-117.936327
33.617652,-117.931538
33.620544,-117.927751
33.612345,-117.933483
33.615326,-117.934028
33.607132,-117.909926
33.60997,-117.928591
33.609238,-117.924556
33.605548,-117.901897
33.604477,-117.893222
33.605548,-117.901897
33.601913,-117.872314
33.604245,-117.886219
33.603058,-117.876462
33.599357,-117.862587
33.597565,-117.856844
33.595586,-117.85223
33.589162,-117.84565
33.592209,-117.847651
33.582784,-117.863102
33.584106,-117.844624
33.581574,-117.847595
33.579712,-117.853947
33.58069,-117.859154
33.582784,-117.863102
33.589162,-117.866707
33.594562,-117.866478
33.594562,-117.866478
33.602383,-117.863674
33.611228,-117.85223
33.607271,-117.859154
33.608368,-117.857292
33.613998,-117.847203
33.606949,-117.841149
33.611274,-117.842388
33.601181,-117.83958
33.602737,-117.83986
33.590279,-117.845478
33.59419,-117.843475
33.584793,-117.852696
33.586648,-117.848396
33.593353,-117.867606
33.584793,-117.852696
33.585159,-117.859383
33.587997,-117.863738
33.611572,-117.861496
33.597656,-117.868559
33.602646,-117.868895
33.614456,-117.856059
33.621643,-117.840028
33.616608,-117.851014
33.619561,-117.845707
33.613835,-117.83083
33.621643,-117.840028
33.617981,-117.833358
33.609831,-117.831402
33.605301,-117.83403
33.603561,-117.836833
33.603561,-117.836833
33.597977,-117.849725
33.598846,-117.844344
33.59526,-117.863789
33.599304,-117.855274
33.597402,-117.860527
33.59526,-117.863789
33.609375,-117.874332
33.604524,-117.871914
33.616209,-117.877293
33.609375,-117.874332
33.621735,-117.876462
33.623471,-117.868309
33.623983,-117.871113
33.614822,-117.863066
33.610336,-117.865364
33.619235,-117.86356
33.605713,-117.878368
33.608139,-117.867326
33.60498,-117.873043
33.605713,-117.878368
33.611135,-117.883759
33.605713,-117.878368
33.607956,-117.891316
33.608714,-117.887421
33.611973,-117.888279
33.606247,-117.882156
33.61409,-117.880834
33.608761,-117.878609
33.606479,-117.893658
33.60606,-117.888107
33.606479,-117.893658
33.607597,-117.907333
33.607361,-117.900285
33.614914,-117.920183
33.607923,-117.910538
33.609924,-117.912616
33.616162,-117.933083
33.615836,-117.927246
33.617605,-117.939434
33.622238,-117.949835
33.617605,-117.939434
33.627568,-117.961693
33.624262,-117.953739
33.633911,-117.972537
33.630432,-117.966763
33.639206,-117.980862
33.645676,-117.991619
33.64183,-117.985373
33.649979,-117.999554
33.645676,-117.991619
33.650299,-118.000843
33.654382,-118.007755
33.654382,-118.007755
33.662202,-118.004208
33.667465,-118.002132
33.662202,-118.004208
33.676447,-118.001347
33.689026,-117.999666
33.683212,-118.000451
33.692322,-117.998545
33.697024,-117.998943
33.698327,-117.997684
33.697024,-117.998943
33.69516,-118.001684
33.695348,-118.001404
33.69516,-118.001684
33.690536,-117.936831
33.69516,-118.001684
33.700104,-118.000675
33.696232,-118.002434
33.703171,-117.998041
33.716808,-117.988873
33.711688,-117.991676
33.717819,-117.98627
33.713969,-117.983437
33.693283,-117.931562
33.712525,-117.986927
33.714661,-117.989128
33.717316,-117.983859
33.714661,-117.989128
33.701912,-117.887993
33.716949,-117.984196
33.715118,-117.982738
33.711731,-117.979375
33.707963,-117.975597
33.703491,-117.972705
33.69841,-117.967212
33.694244,-117.964914
33.691635,-117.957234
33.689713,-117.948658
33.68779,-117.942548
33.683807,-117.93571
33.67803,-117.935257
33.677611,-117.941265
33.603012,-117.917829
33.698776,-117.911159
