latitude,longitude
38.133219,-122.539175
37.902328,-122.500656
38.145309,-122.543199
38.137409,-122.540489
38.124985,-122.536303
38.102401,-122.530995
38.085131,-122.527831
38.070557,-122.526602
38.059108,-122.525681
37.908508,-122.50463
37.894034,-122.502694
38.133219,-122.539175
38.118183,-122.534637
38.111619,-122.533085
38.093044,-122.529025
38.076279,-122.527011
38.059108,-122.525681
38.018328,-122.524368
38.036297,-122.524368
38.028523,-122.524248
38.047394,-122.524732
37.999146,-122.524849
37.96756,-122.527713
37.989166,-122.526135
37.975388,-122.527128
37.950485,-122.529174
38.008878,-122.524129
37.95809,-122.528428
37.931122,-122.531745
37.93905,-122.530577
37.921499,-122.533324
37.931122,-122.531745
37.910431,-122.536478
37.884842,-122.540861
37.888824,-122.541738
37.872806,-122.52807
37.905346,-122.538459
37.896035,-122.541146
37.87706,-122.534316
37.871613,-122.522219
37.889565,-122.498454
37.873032,-122.513512
37.880208,-122.501081
37.889565,-122.498454
37.875778,-122.506909
37.883926,-122.499487
37.893311,-122.49861
37.90686,-122.511525
37.901825,-122.502643
37.905346,-122.507112
37.905167,-122.524498
37.898804,-122.500364
37.906882,-122.519352
37.900737,-122.528607
37.882535,-122.525502
37.887377,-122.530159
37.89301,-122.530995
37.880402,-122.520057
37.894825,-122.501738
37.881139,-122.508545
37.890518,-122.502292
37.899248,-122.502574
37.879623,-122.513395
37.881139,-122.508545
37.885934,-122.504007
37.904938,-122.516492
37.902695,-122.506032
37.904709,-122.511525
37.902832,-122.524206
37.88063,-122.526252
37.897153,-122.529144
37.886169,-122.530284
37.879074,-122.51322
37.892395,-122.530518
37.878904,-122.522338
37.886073,-122.504306
37.882599,-122.5065
37.900318,-122.501977
37.890822,-122.502574
37.894684,-122.501591
37.903885,-122.504279
37.900318,-122.501977
37.90686,-122.509188
37.896332,-122.531394
37.903244,-122.528355
37.908096,-122.516902
37.90686,-122.522395
37.890263,-122.529383
37.886398,-122.525258
37.892637,-122.501619
37.88443,-122.510824
37.887222,-122.505272
37.883932,-122.518098
37.901093,-122.503344
37.896561,-122.501357
37.904089,-122.506276
37.904089,-122.506276
37.898254,-122.52894
37.906649,-122.514695
37.906137,-122.518516
37.890884,-122.529641
37.903251,-122.524726
37.885986,-122.527245
37.882233,-122.522804
37.890884,-122.501649
37.882675,-122.507351
37.896594,-122.500783
37.900504,-122.501858
37.880219,-122.513804
37.886032,-122.504221
37.903244,-122.524732
37.904755,-122.506733
37.905899,-122.519181
37.906649,-122.513799
37.890564,-122.526252
37.896454,-122.528189
37.885654,-122.513262
37.888075,-122.506873
37.886993,-122.522044
37.899857,-122.503402
37.89212,-122.503052
37.896973,-122.502467
37.903656,-122.507084
37.891706,-122.52795
37.905533,-122.511408
37.891706,-122.52795
37.905762,-122.519005
37.902227,-122.52592
37.897758,-122.528249
37.884304,-122.522278
37.891617,-122.502351
37.882302,-122.515173
37.88342,-122.508426
37.887131,-122.504279
37.896175,-122.501917
37.903903,-122.506993
37.900497,-122.503519
37.905624,-122.511175
37.905258,-122.519005
37.898363,-122.527114
37.902273,-122.524786
37.898363,-122.527114
37.88598,-122.514814
37.892451,-122.526577
37.890427,-122.503928
37.896641,-122.500962
37.887634,-122.521986
37.88747,-122.508008
37.896641,-122.500962
37.902924,-122.503344
37.894918,-122.526995
37.907022,-122.513322
37.905532,-122.519591
37.890198,-122.525901
37.905439,-122.506813
37.90155,-122.524323
37.885117,-122.517778
37.885375,-122.512127
37.892591,-122.50138
37.888596,-122.504513
37.885375,-122.512127
37.900314,-122.500597
37.903473,-122.502234
37.895942,-122.500305
37.906323,-122.506097
37.908418,-122.512665
37.902413,-122.527771
37.908465,-122.517501
37.895554,-122.529583
37.890747,-122.528005
37.905899,-122.524382
37.884888,-122.510064
37.885328,-122.521322
37.883926,-122.517077
37.888367,-122.502818
37.892777,-122.49941
37.898483,-122.499604
37.884888,-122.510064
37.907776,-122.520934
37.903996,-122.502276
37.906603,-122.505739
37.900598,-122.531353
37.908554,-122.514213
