latitude,longitude
36.631397,-121.842177
36.63533,-121.834545
36.638799,-121.826808
36.626175,-121.850281
36.638799,-121.826808
36.649599,-121.802966
36.643222,-121.81664
36.646294,-121.80992
36.653835,-121.791979
36.65657,-121.780014
36.66147,-121.749378
36.658305,-121.771292
36.662064,-121.737213
36.662355,-121.728165
36.662292,-121.704082
36.662659,-121.713867
36.661469,-121.689892
36.662292,-121.704082
36.659841,-121.666864
36.660772,-121.678551
36.659134,-121.659966
36.658218,-121.648808
36.658218,-121.648808
36.658218,-121.648808
36.658218,-121.648808
36.658218,-121.648808
36.660278,-121.760502
36.658218,-121.648808
36.782272,-119.729176
36.778037,-119.722868
36.787021,-119.735958
36.79834,-119.752808
36.80136,-119.757814
36.794312,-119.746857
36.790237,-119.740334
36.80983,-119.781303
36.804479,-119.765528
36.808668,-119.776163
36.803467,-119.80608
36.810763,-119.788143
36.80896,-119.799099
36.789322,-119.828224
36.791677,-119.823089
36.796555,-119.815063
36.778152,-119.859066
36.785159,-119.83951
36.781448,-119.848938
36.775726,-119.879379
36.775726,-119.879379
36.776505,-119.86948
36.775151,-119.887604
36.773438,-119.915543
36.774628,-119.897346
36.774266,-119.90683
36.771007,-119.941075
36.771845,-119.930965
36.772451,-119.922609
36.763606,-119.965677
36.769363,-119.947529
36.766678,-119.955626
36.756669,-119.987416
36.759649,-119.97906
36.762302,-119.970236
36.746841,-120.013504
36.752619,-119.997059
36.749454,-120.005824
36.738048,-120.04229
36.740204,-120.034046
36.745683,-120.016869
36.731066,-120.071041
36.73558,-120.052128
36.733475,-120.060539
36.721802,-120.103474
36.72496,-120.094585
36.717705,-120.115571
36.711914,-120.135555
36.710257,-120.14105
36.710257,-120.14105
36.710257,-120.14105
36.710257,-120.14105
36.710257,-120.14105
36.710257,-120.14105
36.728439,-120.083599
36.699038,-120.209539
36.717705,-120.115571
36.710257,-120.14105
36.696943,-120.238173
36.696943,-120.238173
36.697449,-120.229912
36.694565,-120.258293
36.694565,-120.258293
36.694565,-120.258293
36.690472,-120.291586
36.687074,-120.316363
36.689029,-120.302923
36.683945,-120.336285
36.683304,-120.341034
36.685547,-120.325699
36.677065,-120.38158
36.680836,-120.356978
36.680836,-120.356978
36.677065,-120.38158
36.672968,-120.406942
36.674103,-120.400658
36.675934,-120.38887
36.662109,-120.482483
36.669524,-120.428272
36.666916,-120.448036
36.669524,-120.428272
36.666265,-120.453692
36.659546,-120.498562
36.663666,-120.472584
36.657349,-120.514011
36.658356,-120.506516
36.655279,-120.542752
36.655511,-120.540648
