latitude,longitude
37.75461,-122.183732
37.75461,-122.183732
37.764725,-122.216414
37.756073,-122.187312
37.758753,-122.193404
37.767924,-122.211914
37.76326,-122.202389
37.766062,-122.207973
37.779739,-122.234413
37.771787,-122.220094
37.775419,-122.22702
37.770447,-122.21694
37.773285,-122.223426
37.759963,-122.213526
37.775419,-122.22702
37.781843,-122.238425
37.783722,-122.242126
37.789993,-122.256268
37.787476,-122.252038
37.785707,-122.246664
37.797546,-122.256093
37.789993,-122.256268
37.794388,-122.247211
37.790408,-122.240395
37.797546,-122.256093
37.793807,-122.257949
37.785707,-122.225587
37.783379,-122.219497
37.789078,-122.238211
37.786638,-122.230483
37.775977,-122.209944
37.780426,-122.215829
37.774627,-122.198659
37.756073,-122.211388
37.772346,-122.187374
37.774953,-122.203853
37.773184,-122.192031
37.764293,-122.172387
37.770763,-122.18194
37.772346,-122.187374
37.750373,-122.208451
37.768203,-122.17788
37.760289,-122.168685
37.755355,-122.164864
37.740923,-122.157341
37.752422,-122.162774
37.736435,-122.161424
37.753306,-122.163371
37.741203,-122.171551
37.74472,-122.174163
37.736435,-122.161424
37.737665,-122.168805
37.752365,-122.180065
37.745819,-122.206596
37.748651,-122.177104
37.747627,-122.176328
37.758591,-122.191928
37.755753,-122.185266
37.761918,-122.199972
37.760193,-122.195668
37.764991,-122.206003
37.764153,-122.20457
37.741389,-122.205227
37.755753,-122.185266
37.769485,-122.214368
37.774208,-122.224453
37.772346,-122.220034
37.768622,-122.212631
37.781657,-122.237648
37.775482,-122.226874
37.775482,-122.226874
37.779794,-122.234305
37.786405,-122.233349
37.784546,-122.237276
37.786824,-122.238305
37.788639,-122.236633
37.785241,-122.235081
37.737665,-122.204271
37.786405,-122.233349
37.789058,-122.23532
37.786824,-122.238305
37.788872,-122.23735
37.733002,-122.204551
37.784958,-122.235465
37.787659,-122.237627
37.788025,-122.238562
37.785707,-122.233708
37.789803,-122.235559
37.789245,-122.23532
37.785008,-122.234603
37.730484,-122.20683
37.789803,-122.235559
37.787382,-122.238663
37.786148,-122.238094
37.787895,-122.238305
37.788732,-122.237887
37.789245,-122.237827
37.790176,-122.235141
37.788071,-122.233069
37.785004,-122.23599
37.789352,-122.236107
37.785334,-122.235141
37.728882,-122.211154
37.788546,-122.237947
37.784776,-122.235559
37.786777,-122.240276
37.785334,-122.235141
37.791619,-122.251322
37.792364,-122.255203
37.797019,-122.256337
37.789803,-122.246784
37.795624,-122.252762
37.784729,-122.2352
37.729797,-122.21478
37.791412,-122.245925
37.78775,-122.24014
37.778641,-122.214076
37.782029,-122.228453
37.776306,-122.199584
37.776993,-122.20496
37.731308,-122.216063
37.780014,-122.220914
37.770018,-122.17179
37.772439,-122.177462
37.767924,-122.177641
37.765736,-122.174835
37.766993,-122.172089
37.73259,-122.216589
37.77067,-122.177164
37.774887,-122.229971
37.765778,-122.173696
37.733231,-122.216764
37.768799,-122.201629
37.733322,-122.216589
37.768799,-122.177786
37.733522,-122.216332
37.778957,-122.229349
37.757584,-122.229738
37.764106,-122.231498
37.769852,-122.231958
37.733615,-122.216273
37.752228,-122.228978
37.742879,-122.226722
37.745499,-122.227575
37.732986,-122.216646
37.733615,-122.223199
37.732986,-122.216646
37.737534,-122.224887
37.732637,-122.217467
37.732922,-122.216808
37.733734,-122.216297
37.733128,-122.216472
37.733196,-122.216512
37.733334,-122.216458
37.733754,-122.216273
37.733603,-122.216243
37.733743,-122.216273
37.733746,-122.216268
37.733743,-122.216273
37.733754,-122.216273
37.733746,-122.216268
37.733746,-122.216268
37.733708,-122.216273
37.733743,-122.216273
37.733743,-122.216273
37.733746,-122.216268
37.733746,-122.216268
37.733746,-122.216268
37.733746,-122.216268
37.733754,-122.216273
37.733754,-122.216273
37.733746,-122.216268
37.733746,-122.216268
37.733746,-122.216282
37.733746,-122.216268
37.733708,-122.216273
37.733746,-122.216282
37.733746,-122.216282
37.733746,-122.216268
37.733746,-122.216282
37.733746,-122.216282
37.733746,-122.216282
37.733754,-122.216273
37.733754,-122.216273
37.733754,-122.216273
37.730347,-122.220212
37.733746,-122.216282
37.733746,-122.216282
37.733746,-122.216282
37.733746,-122.216282
37.782588,-122.199554
37.720139,-122.232075
37.725608,-122.228274
37.730216,-122.220034
37.72179,-122.231618
37.709594,-122.220094
37.734238,-122.173988
37.748977,-122.205406
37.72733,-122.224035
37.717787,-122.230603
37.72179,-122.231618
37.714342,-122.217049
37.716705,-122.220914
37.722582,-122.219258
37.721046,-122.221647
37.710022,-122.211505
37.730484,-122.213901
37.735197,-122.211078
37.745361,-122.214602
37.742366,-122.21472
37.751816,-122.206304
37.750327,-122.211974
37.75568,-122.209466
37.75582,-122.205227
37.755524,-122.207473
37.757915,-122.203734
37.770401,-122.175566
37.764725,-122.19374
37.767059,-122.19035
37.771043,-122.181523
37.761978,-122.197831
37.762894,-122.165456
37.766876,-122.169488
37.737944,-122.154952
37.751175,-122.155931
37.74321,-122.151431
37.742752,-122.164287
37.751175,-122.155931
37.736547,-122.162476
37.737478,-122.168028
37.745579,-122.19227
37.739273,-122.16119
37.735107,-122.166742
37.740179,-122.183971
37.76001,-122.203495
37.735756,-122.17388
37.737339,-122.179134
37.754563,-122.200928
37.765224,-122.20051
37.765224,-122.20051
37.774255,-122.182896
37.773324,-122.191195
37.76811,-122.171432
37.765224,-122.166237
37.755203,-122.160197
37.769041,-122.196151
37.771042,-122.177553
37.759598,-122.162242
37.75191,-122.139846
37.746696,-122.143667
37.768295,-122.13314
37.751038,-122.158326
37.745865,-122.151489
37.763129,-122.135667
37.781517,-122.121874
37.799346,-122.103782
37.793015,-122.109514
37.793015,-122.109514
37.812057,-122.084753
37.786469,-122.115725
37.80336,-122.097142
37.83454,-122.053747
37.818572,-122.075361
37.840439,-122.046769
37.844921,-122.040193
37.823693,-122.068196
37.828535,-122.061509
37.848038,-122.034672
37.861679,-122.004985
37.859352,-122.012548
37.863739,-121.999258
37.852509,-122.026997
37.855637,-122.021816
37.867499,-121.99774
37.871292,-122.006037
37.875599,-122.006935
37.863739,-121.999258
37.887451,-121.961566
37.889611,-121.986456
37.879303,-121.962969
37.871109,-121.970916
37.857193,-121.987045
37.849902,-121.996486
37.880035,-122.000895
37.884796,-121.993473
37.894499,-121.979171
37.895523,-121.971349
37.864007,-121.978992
37.827026,-122.029938
37.843552,-122.005161
37.8209,-122.040014
37.837234,-122.014277
37.832585,-122.021206
37.8209,-122.040014
37.816245,-122.047836
37.809723,-122.05904
37.804421,-122.068554
37.798645,-122.078734
37.777817,-122.115258
37.782215,-122.107663
37.792831,-122.089136
37.788407,-122.096737
37.764665,-122.135547
37.760376,-122.144185
37.755541,-122.155251
37.769394,-122.128231
37.755341,-122.172352
37.752142,-122.173462
37.752561,-122.163431
37.752142,-122.173462
37.751083,-122.172702
37.752329,-122.168446
37.756379,-122.172626
37.751175,-122.169196
37.752228,-122.175215
37.755203,-122.168845
37.745041,-122.171592
37.756192,-122.167969
37.75312,-122.164625
37.746835,-122.167491
37.747375,-122.175916
37.751312,-122.177085
37.757356,-122.183254
37.749861,-122.181403
37.753098,-122.183221
37.748657,-122.176968
37.760788,-122.186143
37.764771,-122.182637
37.764771,-122.182637
37.763734,-122.162953
37.767924,-122.167312
37.767838,-122.179014
37.770624,-122.171969
37.752561,-122.158774
37.757034,-122.15932
37.759032,-122.185344
37.756165,-122.17691
37.749893,-122.162183
37.752236,-122.167013
37.760605,-122.197655
37.76001,-122.18821
37.765274,-122.220972
