latitude,longitude
33.509697,-117.66761
33.509697,-117.66761
33.509697,-117.66761
33.509697,-117.66761
33.489959,-117.662229
33.492142,-117.657367
33.498138,-117.655005
33.503174,-117.655994
33.503174,-117.655994
33.503174,-117.655994
33.518005,-117.662036
33.521382,-117.66363
33.521382,-117.66363
33.529312,-117.667365
33.535583,-117.669617
33.538605,-117.670111
33.544658,-117.670784
33.544658,-117.670784
33.541168,-117.677083
33.541168,-117.677083
33.533811,-117.676578
33.533811,-117.676578
33.533811,-117.676578
33.511551,-117.670825
33.503925,-117.671534
33.495685,-117.673383
33.490844,-117.675233
33.486099,-117.678351
33.483078,-117.684778
33.482604,-117.689134
33.481999,-117.696757
33.482437,-117.70686
33.483032,-117.712683
33.484978,-117.720748
33.486649,-117.725098
33.486649,-117.725098
33.489587,-117.73151
33.492599,-117.736578
33.495871,-117.741768
33.496709,-117.742889
33.496709,-117.742889
33.505737,-117.752783
33.505737,-117.752783
33.514435,-117.762177
33.519706,-117.76772
33.519706,-117.76772
33.524231,-117.772449
33.527806,-117.775175
33.531006,-117.777832
33.532562,-117.778986
33.532562,-117.778986
33.532562,-117.778986
33.532562,-117.778986
33.532562,-117.778986
33.542098,-117.79501
33.542098,-117.79501
33.543732,-117.800455
33.545288,-117.80421
33.5457,-117.804883
33.548987,-117.811375
33.549774,-117.813291
33.55206,-117.817497
33.558065,-117.824306
33.560165,-117.826183
33.560165,-117.826183
33.564722,-117.832031
33.566817,-117.835293
33.567947,-117.836609
33.571705,-117.841759
33.574405,-117.844505
33.574405,-117.844505
33.578613,-117.852416
33.578613,-117.852416
33.584885,-117.864691
33.587905,-117.870541
33.588743,-117.872429
33.59079,-117.877079
33.593399,-117.882908
33.595779,-117.888514
33.600952,-117.904321
33.602509,-117.910542
33.603699,-117.915027
33.605209,-117.920688
33.599357,-117.898979
33.612112,-117.928848
33.597748,-117.894119
33.616954,-117.929993
33.607923,-117.926044
33.624573,-117.928872
33.630128,-117.926331
33.621872,-117.929432
33.616954,-117.929993
33.65506,-117.902191
33.635295,-117.921524
33.639159,-117.918148
33.639159,-117.918148
33.651635,-117.906017
33.668906,-117.890453
33.67263,-117.894802
33.660187,-117.895969
33.666253,-117.896404
33.66453,-117.89217
33.664344,-117.892113
33.668394,-117.876778
33.664344,-117.892113
33.67398,-117.871399
33.664856,-117.884159
33.67533,-117.870483
33.670908,-117.873573
33.67533,-117.870483
33.676678,-117.870465
33.67533,-117.870483
