latitude,longitude
34.070791,-117.640457
34.055786,-117.652868
34.047189,-117.6511
34.041231,-117.647152
34.036948,-117.64246
34.035412,-117.640343
34.035412,-117.640343
34.111359,-117.687957
34.112732,-117.683809
34.115389,-117.678509
34.127518,-117.662285
34.130859,-117.656175
34.123349,-117.669811
34.035412,-117.640343
34.135918,-117.64492
34.119066,-117.675133
34.140899,-117.629299
34.133404,-117.651043
34.140899,-117.629299
34.143951,-117.61066
34.144577,-117.605209
34.138733,-117.636389
34.146392,-117.586441
34.146011,-117.578542
34.145782,-117.595863
34.142578,-117.620694
34.145279,-117.552478
34.14473,-117.544238
34.144111,-117.536087
34.146066,-117.570019
34.145741,-117.561493
34.150497,-117.46313
34.142622,-117.518692
34.143356,-117.527927
34.142349,-117.515091
34.142487,-117.501414
34.142349,-117.515091
34.144867,-117.484093
34.143494,-117.491605
34.146113,-117.477608
34.142342,-117.505875
34.154617,-117.448276
34.14743,-117.473107
34.156448,-117.440014
34.153561,-117.453403
34.159058,-117.430787
34.159058,-117.430787
34.156448,-117.440014
34.168167,-117.401248
34.168167,-117.401248
34.16272,-117.415989
34.174072,-117.392335
34.164455,-117.409801
34.179337,-117.392952
34.176418,-117.403049
34.172653,-117.398501
34.17707,-117.391605
34.175766,-117.39525
34.172653,-117.398501
34.178513,-117.400014
34.174603,-117.39624
34.178192,-117.394297
34.178375,-117.394297
34.17897,-117.39581
34.177815,-117.394409
34.177256,-117.394581
34.175627,-117.417698
34.172653,-117.438915
34.17897,-117.39581
34.171555,-117.445417
34.173486,-117.432518
34.176931,-117.410717
34.163864,-117.476919
34.162313,-117.486591
34.168121,-117.459823
34.162313,-117.486591
34.164827,-117.472572
34.160637,-117.502384
34.159473,-117.50948
34.158417,-117.517109
34.154865,-117.546101
34.155762,-117.538072
34.155762,-117.538072
34.154167,-117.570076
34.153794,-117.592392
34.153561,-117.604809
34.154865,-117.546101
34.154865,-117.546101
34.153422,-117.610474
34.154073,-117.584324
34.152466,-117.626804
34.151688,-117.638911
34.152557,-117.62557
34.149092,-117.66077
34.149092,-117.66077
34.142761,-117.677307
34.151321,-117.649337
34.134289,-117.692013
34.128937,-117.697991
34.146206,-117.66964
34.117251,-117.703285
34.138711,-117.684917
34.107925,-117.697262
34.122757,-117.701802
34.033782,-117.595081
34.108452,-117.695618
34.109665,-117.703372
34.10929,-117.693443
34.107521,-117.699566
34.109593,-117.692871
34.109593,-117.692871
34.108918,-117.694359
34.109593,-117.692871
34.10947,-117.693044
34.031021,-117.604663
34.109593,-117.692871
34.035039,-117.602634
34.147929,-117.519093
