latitude,longitude
34.098257,-117.780704
34.096395,-117.786083
34.095474,-117.770074
34.091787,-117.77132
34.092453,-117.77355
34.092453,-117.77355
34.092453,-117.77355
34.098118,-117.779675
34.076611,-117.801762
34.082197,-117.789402
34.078995,-117.796475
34.071676,-117.806396
34.071117,-117.803135
34.091858,-117.784928
34.085129,-117.784592
34.075028,-117.806568
34.074842,-117.802219
34.073073,-117.804794
34.072979,-117.807484
34.075354,-117.803135
34.07246,-117.805177
34.074004,-117.804337
34.0727,-117.80508
34.07246,-117.805177
34.072449,-117.805163
34.072449,-117.805163
34.072467,-117.805166
34.072223,-117.805009
34.072456,-117.805166
34.072456,-117.805166
34.072456,-117.805166
34.072456,-117.805181
34.072223,-117.805023
34.07222,-117.805023
34.074609,-117.803593
34.072223,-117.805023
34.071762,-117.807013
34.074283,-117.807941
34.072223,-117.805023
34.073456,-117.804491
34.07246,-117.805177
34.07254,-117.805107
34.07246,-117.805177
34.072456,-117.805181
34.07246,-117.805177
34.0681,-117.804435
34.07246,-117.805177
34.072456,-117.805181
34.072037,-117.805892
34.064575,-117.802024
34.039462,-117.783337
34.047189,-117.789288
34.059619,-117.798443
34.052031,-117.792721
34.034667,-117.779102
34.027219,-117.772694
34.02517,-117.771034
33.998383,-117.753819
34.010041,-117.760849
34.00209,-117.756005
34.019956,-117.767372
33.993073,-117.750736
33.970797,-117.73716
33.983413,-117.745228
33.977734,-117.741795
33.970797,-117.73716
33.96373,-117.732183
33.929319,-117.71101
33.957962,-117.728707
33.948853,-117.723214
33.942912,-117.719593
33.9343,-117.714214
33.920563,-117.705333
33.894917,-117.689323
33.914749,-117.70169
33.910355,-117.699056
33.884491,-117.682856
33.889114,-117.685547
33.900829,-117.6931
33.85302,-117.663345
33.878577,-117.679081
33.872589,-117.674841
33.847137,-117.659314
33.866427,-117.671242
33.844548,-117.647781
33.860515,-117.667408
33.844437,-117.653933
33.844437,-117.653933
33.849389,-117.645721
33.849249,-117.648468
33.847092,-117.646198
33.84897,-117.646179
33.847853,-117.649899
33.848458,-117.647381
33.847229,-117.646983
33.84883,-117.647953
33.848924,-117.648125
33.848958,-117.648082
33.848947,-117.648082
33.848958,-117.648082
33.848958,-117.648082
33.849197,-117.648496
33.849609,-117.638911
33.852997,-117.643732
33.852997,-117.643732
33.851298,-117.649727
33.847229,-117.641714
33.848373,-117.644292
33.8489,-117.648067
33.848877,-117.648104
33.848737,-117.646866
33.848877,-117.647879
33.835796,-117.64595
33.848877,-117.648216
33.845013,-117.647552
33.848889,-117.648067
33.842285,-117.646927
33.830109,-117.645021
33.82574,-117.641315
33.831932,-117.638226
33.826218,-117.636613
33.829468,-117.634931
33.830908,-117.639942
33.829926,-117.640481
33.829422,-117.640649
33.829278,-117.640686
33.828369,-117.641938
33.829278,-117.640686
33.829278,-117.640686
33.82929,-117.640657
33.82929,-117.640657
33.83075,-117.643844
33.829418,-117.640629
33.833267,-117.641433
33.831665,-117.640256
33.830535,-117.640457
33.829285,-117.640705
33.829285,-117.640663
33.829285,-117.640663
33.82929,-117.640672
33.82929,-117.640672
33.82929,-117.640672
33.828161,-117.644005
33.828487,-117.641087
33.831482,-117.645693
33.841289,-117.654419
33.840958,-117.654382
33.840958,-117.654382
33.834958,-117.64555
33.845246,-117.646923
33.841507,-117.651243
33.842546,-117.643604
33.83638,-117.647599
33.842546,-117.643604
33.841661,-117.651043
33.83638,-117.647599
33.83638,-117.647599
33.837582,-117.653387
33.83638,-117.647599
33.838028,-117.652532
33.837662,-117.653261
33.838775,-117.65007
33.837576,-117.653403
33.837582,-117.653401
33.837285,-117.65379
33.837582,-117.653401
33.83844,-117.656512
33.842148,-117.647599
33.838898,-117.646702
33.842148,-117.647599
33.839985,-117.64389
33.838868,-117.648983
33.837798,-117.653046
33.838682,-117.650757
33.838356,-117.652359
33.84137,-117.652139
33.83757,-117.653317
33.837588,-117.653332
33.837472,-117.656307
33.841801,-117.654877
33.837588,-117.653332
33.837479,-117.653541
33.842926,-117.649281
33.838715,-117.649729
33.838915,-117.645493
33.842789,-117.645581
33.839584,-117.643115
33.838589,-117.6511
33.838074,-117.652588
33.837658,-117.653217
33.837658,-117.653217
33.83757,-117.653373
33.836792,-117.654101
33.833747,-117.655277
33.82933,-117.654157
33.822249,-117.651157
33.816011,-117.650127
33.805118,-117.654819
33.809464,-117.651018
33.809464,-117.651018
33.809464,-117.651018
33.809464,-117.651018
33.838943,-117.647431
33.8376,-117.653332
33.837605,-117.653331
33.816011,-117.650127
33.803375,-117.652588
33.805115,-117.651915
33.809464,-117.651018
33.798321,-117.662086
33.792709,-117.65696
33.800354,-117.654662
33.802837,-117.658939
33.811157,-117.651243
33.806396,-117.658193
33.806396,-117.658193
33.792549,-117.664318
33.80928,-117.652364
33.808097,-117.652817
33.804474,-117.653933
33.808097,-117.652817
33.801544,-117.654269
33.800674,-117.656848
33.799997,-117.657337
33.798601,-117.658596
33.808097,-117.652817
33.808097,-117.652817
33.803009,-117.653989
33.805023,-117.650794
33.79866,-117.659034
33.798601,-117.658596
33.802371,-117.655449
33.798601,-117.658596
33.798659,-117.659011
33.79866,-117.659006
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.798659,-117.659011
33.79866,-117.65902
33.79866,-117.65902
33.79866,-117.65902
33.798659,-117.659011
33.79866,-117.65902
33.79866,-117.65902
33.79866,-117.65902
33.79866,-117.65902
33.79866,-117.65902
33.79866,-117.659034
33.79753,-117.659969
33.821551,-117.654247
33.808702,-117.653275
33.81633,-117.653821
33.796971,-117.656822
33.796971,-117.656822
33.827957,-117.654718
33.857895,-117.661276
33.836426,-117.655278
33.842406,-117.655964
33.848505,-117.657394
33.852694,-117.658939
33.869385,-117.666209
33.87291,-117.667778
33.88266,-117.669908
33.888539,-117.670555
33.914246,-117.675794
33.895432,-117.671702
33.926331,-117.681063
33.911536,-117.675133
33.914246,-117.675794
33.930809,-117.683945
33.961254,-117.705116
33.950594,-117.697334
33.954391,-117.700008
33.93863,-117.689381
33.945194,-117.693729
33.968516,-117.710552
33.97435,-117.715255
34.001541,-117.736667
33.978653,-117.718842
34.012985,-117.74614
33.985135,-117.723942
33.99142,-117.728634
33.992065,-117.729156
34.025436,-117.75651
34.018187,-117.750549
34.007858,-117.74188
34.029373,-117.75948
34.051804,-117.76985
34.045467,-117.767372
34.045467,-117.767372
34.034866,-117.762787
34.034866,-117.762787
34.056453,-117.77195
34.07959,-117.779771
34.057755,-117.772821
34.057755,-117.772821
34.070931,-117.785339
34.073212,-117.785912
34.087318,-117.77132
34.083481,-117.773774
34.090018,-117.771664
34.090018,-117.771664
34.091042,-117.776699
34.091507,-117.786198
34.091042,-117.776699
34.090576,-117.796326
34.091042,-117.776699
34.091309,-117.793168
34.086573,-117.800732
34.082748,-117.799446
34.088388,-117.769833
34.080643,-117.780164
34.082703,-117.774166
34.090759,-117.772092
34.079683,-117.794838
34.079269,-117.785881
34.088388,-117.769833
34.090759,-117.772092
34.090759,-117.772092
34.090347,-117.795859
34.091414,-117.786083
34.090759,-117.772092
34.084488,-117.803258
34.091228,-117.791634
34.087372,-117.79967
34.087738,-117.808246
34.103531,-117.81912
34.10524,-117.821159
34.106232,-117.817887
34.095703,-117.812674
34.099561,-117.816238
34.106506,-117.816374
34.086731,-117.786161
34.10376,-117.802865
34.102112,-117.793504
34.084717,-117.779491
34.085266,-117.772204
34.099654,-117.787056
34.09188,-117.78677
34.089981,-117.770747
34.090809,-117.773323
34.079078,-117.795124
34.090809,-117.773323
34.091034,-117.777081
34.087326,-117.798213
34.082153,-117.798157
34.091461,-117.788601
34.078583,-117.78902
34.084167,-117.771532
34.091171,-117.792944
34.079727,-117.78235
34.081696,-117.775343
34.088388,-117.770348
34.090809,-117.773781
34.090809,-117.773781
34.090809,-117.773781
34.090164,-117.771868
34.090809,-117.773781
34.090809,-117.773781
34.091507,-117.7878
34.08252,-117.801408
34.089645,-117.798443
34.091181,-117.793922
34.085874,-117.801476
34.0781,-117.798042
34.071024,-117.767601
34.076052,-117.794323
34.07373,-117.785993
34.071304,-117.75856
34.080009,-117.757874
34.076564,-117.755241
34.090157,-117.774582
34.090157,-117.777901
34.073026,-117.781506
34.071676,-117.772293
34.087411,-117.766457
34.089785,-117.772064
34.090157,-117.777901
34.08371,-117.761891
34.090157,-117.777901
34.090622,-117.7842
34.090437,-117.780418
34.090622,-117.7842
34.086573,-117.787628
34.067952,-117.781677
34.070343,-117.78504
34.082709,-117.78574
34.075633,-117.785454
34.064438,-117.775511
34.064438,-117.775511
34.063622,-117.75032
34.060501,-117.765814
34.062424,-117.757967
34.061807,-117.770004
34.063019,-117.741263
34.064392,-117.741207
34.062698,-117.736106
34.059759,-117.737961
34.060131,-117.736301
34.061481,-117.740135
34.063343,-117.737217
34.061481,-117.740135
34.056965,-117.735672
34.053268,-117.73947
34.053955,-117.762787
34.054079,-117.756214
34.053846,-117.746773
34.049469,-117.79059
34.053334,-117.769032
34.051938,-117.77813
34.050867,-117.783794
34.047592,-117.798045
34.04165,-117.799702
34.043839,-117.79485
34.040268,-117.796139
34.051659,-117.779789
34.051659,-117.779789
34.053589,-117.792495
34.055832,-117.784256
34.035039,-117.771034
34.047515,-117.778187
34.043289,-117.772036
34.039276,-117.766571
34.029968,-117.778763
34.031501,-117.775326
34.034062,-117.775841
34.035645,-117.777025
34.030384,-117.773495
34.033035,-117.776857
34.027954,-117.77596
34.029694,-117.778987
34.03057,-117.771378
34.029686,-117.776241
34.026123,-117.772933
34.029686,-117.776241
34.031176,-117.771492
34.032246,-117.7775
34.026443,-117.770467
34.02801,-117.778072
34.026581,-117.772036
34.02832,-117.777698
34.048819,-117.775269
34.043564,-117.780556
34.037879,-117.78019
34.043564,-117.780556
34.055466,-117.756397
34.055941,-117.755642
34.052444,-117.752978
34.051333,-117.767544
34.054092,-117.759705
34.04961,-117.739906
34.054779,-117.749783
34.049744,-117.744907
34.04961,-117.739906
34.054684,-117.737446
34.05629,-117.748438
34.056473,-117.749727
34.059293,-117.750034
34.056747,-117.743393
34.064255,-117.742889
34.059402,-117.748886
34.072979,-117.753296
34.056747,-117.744234
34.059433,-117.739677
34.081126,-117.762051
34.068787,-117.748886
34.072979,-117.753296
34.078766,-117.761498
34.081375,-117.758808
34.082802,-117.760963
34.081964,-117.758045
34.08197,-117.758359
34.080614,-117.758217
34.081512,-117.76161
34.079497,-117.759705
34.07991,-117.759312
34.080048,-117.761498
34.080048,-117.761498
34.082569,-117.759418
34.081312,-117.761936
34.082474,-117.761106
34.081879,-117.758808
34.082336,-117.759933
34.079865,-117.761106
34.080567,-117.758389
34.0646,-117.749863
34.077805,-117.756341
34.06041,-117.745399
34.059036,-117.732911
34.070663,-117.753539
34.059665,-117.719193
34.059014,-117.726002
34.059014,-117.726002
34.059174,-117.739133
34.058362,-117.726917
34.062607,-117.715759
34.054001,-117.731622
34.064896,-117.719122
34.062469,-117.723438
34.044113,-117.748494
34.055057,-117.737789
34.054825,-117.74457
34.038391,-117.748718
34.050029,-117.747574
34.024109,-117.740591
34.032211,-117.748326
34.027824,-117.745285
34.024109,-117.740591
34.025803,-117.746588
34.041696,-117.745571
34.030803,-117.747803
34.037109,-117.748214
34.047655,-117.73962
34.066956,-117.737564
34.052628,-117.735826
34.057343,-117.73308
34.0616,-117.753202
34.062272,-117.732239
34.066602,-117.742081
34.063855,-117.746544
34.081421,-117.747485
34.065531,-117.754784
34.074748,-117.751007
34.074748,-117.751007
34.088013,-117.744178
34.105007,-117.741394
34.09188,-117.742996
34.11334,-117.741108
34.11334,-117.741108
34.097488,-117.74188
34.112274,-117.738741
34.113899,-117.739964
34.114318,-117.740364
34.114318,-117.740364
34.114318,-117.740364
34.124817,-117.737564
34.124817,-117.737564
34.124817,-117.737564
34.121021,-117.735443
34.13238,-117.754383
34.131729,-117.746308
34.134796,-117.755781
34.13649,-117.747149
34.140434,-117.752094
34.124496,-117.740366
34.124496,-117.740366
34.104449,-117.736816
34.124496,-117.740366
34.096209,-117.736816
34.114197,-117.736835
34.078286,-117.736645
34.073492,-117.736588
34.060364,-117.736702
34.0673,-117.73653
34.056128,-117.738018
34.054047,-117.742833
34.054047,-117.742833
34.087411,-117.736816
34.055466,-117.756285
34.056427,-117.740927
34.045793,-117.733326
34.060455,-117.732295
34.058807,-117.748886
34.058807,-117.748886
34.048782,-117.736162
34.050568,-117.729044
34.057571,-117.730751
34.052729,-117.750778
34.069473,-117.726353
34.068283,-117.72753
34.066498,-117.724223
34.068283,-117.72753
34.068045,-117.725029
34.067871,-117.723943
34.068417,-117.727604
34.068976,-117.729149
34.058921,-117.744083
34.068695,-117.724335
34.061062,-117.737961
34.061062,-117.737961
34.064301,-117.727699
34.056519,-117.754436
34.056564,-117.751521
34.056061,-117.756902
34.05934,-117.755527
34.056081,-117.757645
34.055988,-117.753811
34.05394,-117.755013
34.056976,-117.757238
34.056453,-117.753067
34.054413,-117.755725
34.056564,-117.752978
34.057892,-117.757182
34.054413,-117.755725
34.055615,-117.754898
34.055848,-117.753639
34.058734,-117.757931
34.058269,-117.757359
34.059293,-117.75341
34.057245,-117.753983
34.058828,-117.754326
34.056546,-117.758904
34.055569,-117.752209
34.058212,-117.757519
34.06041,-117.753754
34.06041,-117.753754
34.054596,-117.757462
34.057617,-117.757645
34.055709,-117.752495
34.054172,-117.756786
34.058362,-117.756157
34.057068,-117.757967
34.053818,-117.756285
34.053818,-117.756285
34.054001,-117.754772
34.056314,-117.752266
34.055603,-117.757855
34.05423,-117.751801
34.057663,-117.752306
34.053567,-117.756557
34.054731,-117.752438
34.057524,-117.757244
34.057571,-117.758191
34.057524,-117.757244
34.055243,-117.75198
34.054079,-117.756157
34.059723,-117.754436
34.055569,-117.75713
34.087555,-117.766823
34.060318,-117.757182
34.075516,-117.756397
34.081778,-117.759876
34.067067,-117.755756
34.09025,-117.777271
34.089523,-117.771812
34.090164,-117.775455
34.089981,-117.778426
34.09025,-117.777271
34.089981,-117.778426
34.089981,-117.778426
34.090716,-117.783852
33.754211,-117.592275
34.086014,-117.786598
33.754211,-117.592275
33.768494,-117.594461
34.089111,-117.787451
34.08108,-117.786083
34.070618,-117.785265
34.08108,-117.786083
34.075928,-117.785601
34.063017,-117.789631
34.064713,-117.788235
34.054684,-117.803364
34.059174,-117.793897
34.056015,-117.799334
34.050842,-117.817103
34.052307,-117.812226
34.053314,-117.808919
34.0513,-117.825791
34.050495,-117.820187
34.060736,-117.826424
34.058083,-117.830372
34.053268,-117.830051
34.061554,-117.808414
34.063064,-117.813206
34.062836,-117.819793
34.056793,-117.803874
34.052915,-117.799816
34.052915,-117.799816
34.043152,-117.785096
34.044846,-117.789693
34.049098,-117.795124
34.040771,-117.771139
34.041603,-117.776356
34.045441,-117.760714
34.040346,-117.764797
34.054638,-117.751465
34.055786,-117.756173
34.051333,-117.758331
34.052869,-117.755299
34.052994,-117.755781
34.054871,-117.752953
34.057663,-117.74216
34.057524,-117.747173
34.0565,-117.753124
34.055709,-117.724514
34.0578,-117.736162
34.057938,-117.731959
34.055709,-117.724514
34.056965,-117.721996
34.058222,-117.726345
34.050568,-117.724784
34.0538,-117.720165
34.059723,-117.723046
34.051483,-117.735434
34.050797,-117.72966
34.047702,-117.734013
34.054779,-117.738741
34.05011,-117.729436
34.054778,-117.73241
34.04567,-117.745075
34.048958,-117.7458
34.052869,-117.744255
34.04151,-117.745342
34.034341,-117.748661
34.041231,-117.750835
34.03895,-117.749176
34.035738,-117.744884
34.038903,-117.752609
34.03775,-117.743617
34.03895,-117.749176
34.035828,-117.747429
34.046398,-117.747402
34.046305,-117.743683
34.05043,-117.744963
34.046265,-117.740254
34.042627,-117.74477
34.052444,-117.766711
34.05259,-117.759132
34.052264,-117.752609
34.055476,-117.774353
34.052124,-117.772522
34.054184,-117.771139
34.054459,-117.775231
34.052822,-117.771664
34.052078,-117.773213
34.053085,-117.774951
34.054642,-117.771364
34.052543,-117.77235
34.055429,-117.771435
34.054779,-117.771139
34.054138,-117.77568
34.054779,-117.771139
34.052719,-117.774671
34.053381,-117.771549
34.053986,-117.774868
34.054459,-117.771756
34.052719,-117.77439
34.054916,-117.773886
34.052264,-117.77298
34.054276,-117.774839
34.052994,-117.77198
34.090714,-117.784704
34.054184,-117.770971
34.054916,-117.771924
34.052902,-117.773942
34.051575,-117.77142
34.051193,-117.775841
34.054265,-117.773037
34.049835,-117.768169
34.054321,-117.771756
34.053521,-117.769489
34.051519,-117.770462
34.052399,-117.769121
34.050797,-117.766431
34.089785,-117.788086
34.051286,-117.766685
34.051286,-117.766685
34.049564,-117.769203
34.052902,-117.768841
34.049796,-117.753868
34.050293,-117.759649
34.051379,-117.763596
34.053846,-117.732868
34.050727,-117.745914
34.058807,-117.735546
34.05162,-117.738965
34.061829,-117.752081
34.061807,-117.745914
34.060776,-117.739638
34.05629,-117.775511
34.060272,-117.758976
34.056733,-117.770462
34.084854,-117.785769
34.057384,-117.766743
34.057524,-117.787342
34.055969,-117.77994
34.055328,-117.785433
34.059014,-117.781563
34.05217,-117.763124
34.054824,-117.768402
34.058222,-117.777958
34.079773,-117.782462
34.048446,-117.757072
34.041275,-117.74586
34.034295,-117.731895
34.037567,-117.739021
34.03057,-117.72789
34.02531,-117.729778
34.032898,-117.734528
34.028183,-117.734481
34.042374,-117.735994
34.03597,-117.737732
34.039695,-117.736588
34.031781,-117.74168
33.779281,-117.599201
34.075354,-117.780075
34.031781,-117.74168
34.028,-117.744626
34.028458,-117.750232
34.024979,-117.74855
34.025263,-117.747116
34.027079,-117.751579
34.032532,-117.754492
34.028569,-117.746201
34.041045,-117.759304
34.036762,-117.756844
34.049561,-117.763965
34.044296,-117.751409
34.045607,-117.761593
34.062927,-117.758303
34.056128,-117.765198
34.056519,-117.746588
34.059805,-117.75095
34.062286,-117.764861
34.067184,-117.77596
34.042907,-117.750607
34.045578,-117.745131
34.050867,-117.745628
34.040393,-117.771091
34.042488,-117.755356
34.039764,-117.776745
34.040393,-117.771091
34.041687,-117.76133
34.03732,-117.797527
34.038158,-117.790375
34.067184,-117.77596
34.03894,-117.783527
34.03656,-117.804379
34.034821,-117.823997
34.035278,-117.816878
34.03569,-117.811273
34.032526,-117.845764
34.034062,-117.832603
34.033447,-117.838347
34.028336,-117.867279
34.031845,-117.853088
34.027032,-117.870827
34.027032,-117.870827
34.030334,-117.860207
34.018374,-117.900696
34.062552,-117.773151
34.022377,-117.884159
34.019584,-117.895203
34.012415,-117.921238
34.018374,-117.900696
34.018374,-117.900696
34.009918,-117.930721
34.012415,-117.921238
34.010101,-117.948658
34.009622,-117.943554
34.012299,-117.955216
34.010227,-117.928963
34.013168,-117.937336
34.014975,-117.953682
34.014975,-117.953682
34.057068,-117.769514
34.017929,-117.908524
34.014975,-117.926559
34.025391,-117.894399
34.021179,-117.899556
34.016281,-117.918558
34.028382,-117.867279
34.026901,-117.886776
34.028137,-117.876238
34.027219,-117.838955
34.02832,-117.858021
34.026986,-117.831917
34.027731,-117.848167
34.027358,-117.812004
34.027358,-117.820644
34.027917,-117.797642
34.027498,-117.804852
34.028595,-117.784984
34.027358,-117.812004
34.051565,-117.765884
34.041184,-117.763481
34.030838,-117.777698
34.035828,-117.76957
34.047958,-117.756902
34.073502,-117.751241
34.064786,-117.751923
34.079823,-117.752495
34.056174,-117.753239
34.089981,-117.768337
34.086061,-117.756214
34.089087,-117.760391
34.046957,-117.762394
34.090483,-117.778645
34.090164,-117.772653
34.093048,-117.787451
34.090714,-117.782798
34.090164,-117.772653
34.096115,-117.771251
34.097305,-117.777249
34.097373,-117.784138
34.092019,-117.769375
34.092407,-117.765534
34.09227,-117.771532
34.092764,-117.774754
34.092764,-117.774754
34.092718,-117.77441
34.041412,-117.757743
34.092764,-117.774754
34.091135,-117.777042
34.035599,-117.753034
34.091135,-117.777042
34.089947,-117.778384
34.091135,-117.777042
34.089947,-117.778384
34.009575,-117.736645
34.016465,-117.739849
34.089947,-117.778384
34.030757,-117.749233
34.024472,-117.744026
34.002732,-117.734013
33.990582,-117.730064
33.784914,-117.602406
33.997472,-117.732525
33.982901,-117.726231
33.969406,-117.727362
33.976849,-117.722168
33.970413,-117.722205
33.979223,-117.722454
33.974382,-117.729149
33.981132,-117.715988
33.979968,-117.707863
33.790833,-117.606176
33.973823,-117.700367
33.967958,-117.694988
33.961859,-117.689724
33.956738,-117.685661
33.950043,-117.682072
33.956738,-117.685661
33.930949,-117.676048
33.944728,-117.680054
33.93924,-117.678428
33.793433,-117.607956
33.917038,-117.672767
33.923126,-117.673888
33.912328,-117.671356
33.906648,-117.669582
33.848831,-117.645862
33.893738,-117.665872
33.888307,-117.66449
33.883804,-117.663294
33.878494,-117.661837
33.874191,-117.660828
33.869034,-117.659054
33.863913,-117.656422
33.848511,-117.649561
33.85112,-117.649505
33.847595,-117.650122
33.899597,-117.66761
33.858261,-117.652868
33.852631,-117.650906
33.848923,-117.645357
33.852539,-117.648328
33.848831,-117.645862
33.849792,-117.648608
33.848785,-117.644068
33.84748,-117.647152
33.84993,-117.648384
33.854004,-117.645357
33.854462,-117.649673
33.795482,-117.610931
33.793433,-117.607956
33.858536,-117.649337
33.851349,-117.648944
33.848865,-117.647982
33.848877,-117.647992
33.848877,-117.647992
33.848969,-117.648048
33.848877,-117.647982
33.848877,-117.647992
33.848877,-117.647992
33.848877,-117.647982
33.795547,-117.611053
33.848865,-117.647982
33.848865,-117.647982
33.795547,-117.611025
33.848877,-117.647992
33.848865,-117.647982
33.848385,-117.647809
33.853113,-117.641087
33.847992,-117.644234
33.859177,-117.642947
33.849472,-117.648216
33.862473,-117.647599
33.862473,-117.647599
33.852322,-117.649097
33.850159,-117.64844
33.860236,-117.650528
33.855743,-117.649225
33.848924,-117.64801
33.848854,-117.647982
33.848854,-117.647978
33.848854,-117.647978
33.795551,-117.611032
33.848854,-117.647967
33.848854,-117.647967
33.846863,-117.647039
33.837296,-117.644068
33.841873,-117.645021
33.833887,-117.639256
33.826035,-117.640312
33.827323,-117.635136
33.83291,-117.632275
33.830815,-117.643032
33.836975,-117.634931
33.795547,-117.611025
33.830815,-117.640572
33.829834,-117.640649
33.829376,-117.640649
33.829302,-117.640657
33.829308,-117.640663
33.829302,-117.640657
33.831047,-117.634392
33.829308,-117.640663
33.827225,-117.640817
33.795547,-117.611025
33.829308,-117.640663
33.829308,-117.640663
33.829308,-117.640663
33.829285,-117.640705
33.827087,-117.637902
33.83107,-117.63992
33.836727,-117.631989
33.837158,-117.635996
33.833422,-117.638569
33.82988,-117.640481
33.829302,-117.640657
33.829313,-117.640657
33.828766,-117.640915
33.829302,-117.640657
33.826126,-117.639528
33.828232,-117.635996
33.831024,-117.638463
33.835236,-117.65085
33.833189,-117.644062
33.841289,-117.647038
33.839172,-117.651691
33.837937,-117.65276
33.839127,-117.644909
33.838496,-117.651615
33.839127,-117.644909
33.839008,-117.648811
33.837576,-117.65336
33.83757,-117.653373
33.837565,-117.653389
33.834686,-117.649505
33.837576,-117.653403
33.83757,-117.653401
33.837379,-117.653561
33.837565,-117.653389
33.83757,-117.653401
33.834353,-117.654133
33.837559,-117.653415
33.837341,-117.647936
33.838898,-117.650066
33.83817,-117.652016
33.837611,-117.653217
33.837518,-117.653446
33.837553,-117.653403
33.837559,-117.653401
33.835007,-117.649337
33.836029,-117.654991
33.833038,-117.654045
33.839172,-117.647992
33.837518,-117.646866
33.837518,-117.646866
33.837576,-117.65336
33.837891,-117.652812
33.83757,-117.653317
33.83757,-117.653373
33.838531,-117.651635
33.837582,-117.653359
33.837582,-117.653359
33.831373,-117.658024
33.835648,-117.657072
33.83757,-117.653429
33.825531,-117.653989
34.081731,-117.78471
34.090483,-117.787056
34.086502,-117.787395
33.820759,-117.651615
33.820759,-117.651615
34.078766,-117.783079
34.0727,-117.78059
34.067626,-117.776527
33.820759,-117.651615
34.063297,-117.774239
33.820759,-117.651615
33.820759,-117.651615
34.058222,-117.769375
33.820759,-117.651615
33.820759,-117.651615
34.060913,-117.764245
34.067114,-117.76165
33.820759,-117.651615
34.067114,-117.76165
34.0727,-117.758675
33.820759,-117.651615
33.820759,-117.651615
34.071071,-117.754269
34.069721,-117.75816
