latitude,longitude
33.909488,-117.282658
33.936488,-117.291527
33.918286,-117.287865
33.926759,-117.288208
33.911819,-117.284602
33.922943,-117.288021
33.932299,-117.28941
33.940119,-117.292786
33.944868,-117.295361
33.944868,-117.295361
33.920242,-117.290611
33.934616,-117.29329
33.929971,-117.291126
33.920242,-117.290611
33.942764,-117.297718
33.929971,-117.291126
33.905205,-117.287464
33.8871,-117.287965
33.895523,-117.287797
33.860515,-117.286205
33.877396,-117.288245
33.877396,-117.288245
33.866194,-117.288666
33.862936,-117.290096
33.860504,-117.286844
33.861539,-117.285347
33.863494,-117.285576
33.863681,-117.284889
33.863846,-117.288806
33.863159,-117.292281
33.867737,-117.287068
33.863159,-117.292281
33.864761,-117.277147
33.858353,-117.277371
33.856279,-117.284203
33.88298,-117.283537
33.878019,-117.280598
33.87206,-117.278423
33.898041,-117.289647
33.904693,-117.291126
33.904693,-117.291126
33.908203,-117.287853
33.901245,-117.279165
33.90509,-117.282024
33.889297,-117.270589
33.895981,-117.276082
33.893334,-117.274933
33.889297,-117.270589
33.889297,-117.270589
33.886963,-117.285555
33.890625,-117.271822
33.891449,-117.274064
33.888027,-117.272587
33.890727,-117.2715
33.881324,-117.269611
33.888027,-117.272587
33.875748,-117.267226
33.875748,-117.267226
33.860515,-117.260857
33.867638,-117.263546
33.854874,-117.258033
33.857396,-117.259197
33.84343,-117.253044
33.848411,-117.255077
33.826253,-117.245922
33.832025,-117.248383
33.837479,-117.25069
33.828873,-117.247047
33.763547,-117.234592
33.819489,-117.243179
33.819489,-117.243179
33.819489,-117.243179
33.791292,-117.229671
33.782822,-117.230847
33.769971,-117.233505
33.819489,-117.243179
33.819489,-117.243179
33.786896,-117.229054
33.777145,-117.232249
33.750961,-117.237406
33.758743,-117.235276
33.746429,-117.239255
33.736407,-117.244263
33.746429,-117.239255
33.720383,-117.251867
33.733475,-117.24615
33.701446,-117.254848
33.715439,-117.253156
33.671082,-117.250017
33.690216,-117.256688
33.701446,-117.254848
33.67938,-117.25502
33.663599,-117.222633
33.663599,-117.222633
33.666066,-117.242889
33.663391,-117.210612
33.668999,-117.133999
33.663134,-117.199459
33.658081,-117.170871
33.661085,-117.152252
33.659782,-117.19162
33.657687,-117.181892
33.658897,-117.163067
33.663366,-117.144184
33.674073,-117.126732
33.686554,-117.104336
33.677472,-117.121639
33.689156,-117.096462
33.683291,-117.111225
33.689156,-117.096462
33.695663,-117.082028
33.703491,-117.069752
33.691635,-117.089426
33.721231,-117.040501
33.715073,-117.051535
33.707062,-117.064147
33.717087,-117.048508
33.721231,-117.040501
33.729843,-117.018528
33.729843,-117.018528
33.729843,-117.018528
33.730133,-117.024181
33.729843,-117.018528
33.729843,-117.018528
33.723312,-117.041782
33.719276,-117.057438
33.730133,-117.024181
33.730133,-117.024181
33.720566,-117.049405
33.720612,-117.067734
33.721417,-117.080212
33.72151,-117.073803
33.721976,-117.11998
33.721417,-117.080212
33.723977,-117.104244
33.721463,-117.097263
33.725001,-117.112713
33.718438,-117.130966
33.708847,-117.167788
33.718414,-117.151645
33.718048,-117.159997
33.718438,-117.130966
33.713928,-117.166611
33.69572,-117.164497
33.702484,-117.166387
33.692413,-117.174066
33.691158,-117.168903
33.718414,-117.194974
33.69977,-117.17371
33.710724,-117.174402
33.7149,-117.178001
33.705915,-117.172508
33.7149,-117.178001
33.718781,-117.1892
33.711315,-117.204037
33.715132,-117.20129
33.695114,-117.19985
33.711315,-117.204037
33.700882,-117.204166
33.692229,-117.195053
33.696899,-117.173618
33.693392,-117.177544
33.702284,-117.171364
33.711082,-117.173309
33.716948,-117.186584
33.708801,-117.200074
33.702237,-117.199287
33.69423,-117.183723
33.694107,-117.176869
33.713969,-117.177086
33.716482,-117.190819
33.69104,-117.186398
33.705496,-117.171307
33.715319,-117.179031
33.715073,-117.195198
33.702237,-117.199287
33.696418,-117.190876
33.699444,-117.169819
33.70459,-117.169918
33.710384,-117.172966
33.713969,-117.177086
33.716389,-117.185955
33.712418,-117.200187
33.702656,-117.202835
33.698547,-117.194469
33.70922,-117.202435
33.702713,-117.186678
33.703766,-117.186454
33.702713,-117.186678
33.705322,-117.187238
33.704286,-117.189674
33.702988,-117.187407
33.703587,-117.186928
33.704773,-117.185445
33.704544,-117.190265
33.703448,-117.189674
33.704315,-117.18679
33.704565,-117.189274
33.70382,-117.189331
33.704773,-117.185445
33.705002,-117.190602
33.692136,-117.182121
33.698593,-117.187294
33.684998,-117.185557
33.673782,-117.211397
33.678449,-117.201691
33.681382,-117.194767
33.670303,-117.218456
33.655838,-117.244412
33.660049,-117.235836
33.66439,-117.228699
33.652008,-117.252388
33.644978,-117.264347
33.648376,-117.258537
33.634225,-117.265491
33.640276,-117.268753
33.644978,-117.264347
33.639857,-117.267036
33.638351,-117.259434
33.642045,-117.262115
33.635575,-117.263546
33.642371,-117.261715
33.642371,-117.261715
33.638647,-117.258854
33.631385,-117.262573
33.639816,-117.269356
33.634597,-117.268467
33.644932,-117.220345
33.633526,-117.247124
33.647598,-117.210724
33.632083,-117.253704
33.635239,-117.242282
33.641719,-117.229099
33.649246,-117.202541
33.656204,-117.202709
33.653916,-117.196941
33.649246,-117.202541
33.660666,-117.235851
33.656989,-117.21405
33.661285,-117.241946
33.659546,-117.223729
33.662947,-117.254391
33.669511,-117.281456
33.663757,-117.263246
33.677719,-117.298279
33.675064,-117.292786
33.696396,-117.330397
33.682846,-117.308873
33.687469,-117.317841
33.691623,-117.324257
33.666346,-117.273502
33.696396,-117.330397
33.696396,-117.330397
33.696396,-117.330397
33.698502,-117.331686
33.696396,-117.330397
33.698502,-117.331686
33.698502,-117.331686
33.692734,-117.288862
33.692596,-117.297774
33.698502,-117.331686
33.69104,-117.265992
33.692368,-117.277679
33.69104,-117.265992
33.687653,-117.250186
33.677444,-117.234098
33.684036,-117.242226
33.67668,-117.223034
33.674632,-117.175655
33.673279,-117.196207
33.676208,-117.164593
33.675796,-117.21611
33.673654,-117.186928
33.676208,-117.164593
33.702656,-117.075348
33.680079,-117.142982
33.684222,-117.123642
33.692508,-117.098179
33.694931,-117.091556
33.712851,-117.056351
33.678542,-117.152424
33.682499,-117.129936
33.68883,-117.108994
33.694931,-117.091556
33.705729,-117.068939
33.716994,-117.049999
33.720998,-117.042103
33.727615,-117.024293
33.7229,-117.036849
33.727615,-117.024293
33.720998,-117.042103
33.727615,-117.024293
33.727615,-117.024293
33.727615,-117.024293
33.727615,-117.024293
33.727615,-117.024293
33.727615,-117.024293
33.77458,-117.015209
33.778748,-117.01482
33.765455,-117.016239
33.797287,-117.014484
33.765455,-117.016239
33.765455,-117.016239
33.730215,-117.022018
33.765455,-117.016239
33.765455,-117.016239
33.711269,-117.070198
33.730215,-117.022018
33.7229,-117.040997
33.720108,-117.047275
33.716762,-117.055264
33.713974,-117.062521
33.730215,-117.022018
33.894265,-117.296677
33.70801,-117.080956
33.665863,-117.20411
33.708894,-117.078209
33.70801,-117.080956
33.70801,-117.080956
33.720612,-117.052095
33.617326,-117.290268
33.722397,-117.044865
33.721463,-117.061386
33.726334,-117.072723
33.726334,-117.072723
33.72677,-117.073517
33.72677,-117.073517
33.74794,-117.113473
33.72677,-117.073517
33.72677,-117.073517
33.751722,-117.120037
33.780771,-117.150192
33.756657,-117.12759
33.762268,-117.134325
33.767411,-117.139206
33.787521,-117.155571
33.797516,-117.164033
33.809959,-117.174168
33.816376,-117.179896
33.797516,-117.164033
33.803163,-117.168674
33.821869,-117.184604
33.848365,-117.206669
33.836334,-117.197216
33.841873,-117.202092
33.829605,-117.191162
33.855331,-117.20994
33.842972,-117.191947
33.861557,-117.210668
33.858078,-117.202541
33.851212,-117.197944
33.834595,-117.186173
33.817734,-117.173882
33.825787,-117.180004
33.817734,-117.173882
33.808516,-117.164898
33.795109,-117.150593
33.800928,-117.15683
33.77444,-117.127304
33.779514,-117.133827
33.787857,-117.142901
33.660806,-117.178574
33.765595,-117.106476
33.768814,-117.117845
33.763407,-117.095661
33.753159,-117.055963
33.758566,-117.072716
33.757821,-117.070427
33.761948,-117.086568
33.738362,-117.029972
33.747486,-117.043419
33.742459,-117.03558
33.742459,-117.03558
33.722763,-117.039484
33.731379,-117.023335
33.713837,-117.053385
33.708252,-117.060335
33.585345,-117.07489
33.585345,-117.07489
33.550186,-117.06566
33.530914,-117.060919
33.525284,-117.058777
33.522266,-117.064203
33.512329,-117.066028
33.731379,-117.023335
33.731379,-117.023335
33.660806,-117.178574
33.718185,-117.046995
33.708252,-117.060335
33.701431,-117.067622
33.692001,-117.073283
33.660806,-117.178574
33.685593,-117.074573
33.679008,-117.074947
33.667328,-117.075189
33.66188,-117.075301
33.65359,-117.075691
33.646747,-117.076035
33.634038,-117.077236
33.628143,-117.077768
33.620119,-117.078323
33.61409,-117.078272
33.605667,-117.077375
33.598434,-117.076422
33.590652,-117.075581
33.585345,-117.07489
33.570511,-117.07149
33.563644,-117.069472
33.556549,-117.067454
33.54332,-117.063418
33.539025,-117.062129
33.524315,-117.060896
33.660806,-117.178574
33.519699,-117.058502
33.522034,-117.053998
33.517639,-117.065698
33.512329,-117.066028
33.488846,-117.068555
33.488846,-117.068555
33.488846,-117.068555
33.512329,-117.066028
33.488846,-117.068555
33.462447,-117.105289
33.451813,-117.112939
33.459421,-117.109774
33.446228,-117.104645
33.446228,-117.104645
33.436432,-117.121619
33.43222,-117.107281
33.43428,-117.112994
33.447418,-117.107776
33.436432,-117.121619
33.660806,-117.178574
33.443436,-117.136285
33.438612,-117.128832
33.446805,-117.140715
33.461288,-117.157819
33.45163,-117.147162
33.456069,-117.152654
33.467697,-117.163257
33.478181,-117.173449
33.47319,-117.168311
33.493286,-117.191107
33.488159,-117.184515
33.482604,-117.17827
33.502441,-117.203632
33.496948,-117.196106
33.519745,-117.226373
33.515144,-117.22031
33.506973,-117.209894
33.648605,-117.208931
33.511734,-117.215936
33.538467,-117.23152
33.525525,-117.232249
33.532648,-117.232865
33.532648,-117.232865
33.547256,-117.226643
33.547256,-117.226643
33.552944,-117.22229
33.577058,-117.20089
33.566258,-117.210159
33.570786,-117.206128
33.581909,-117.196936
33.581909,-117.196936
33.613742,-117.168674
33.611926,-117.170448
33.599636,-117.183094
33.604843,-117.178214
33.644094,-117.217312
33.613742,-117.168674
33.63739,-117.146702
33.630081,-117.153511
33.630081,-117.153511
33.643066,-117.140434
33.647827,-117.133932
33.666113,-117.106476
33.662704,-117.112072
33.653,-117.126589
33.657944,-117.119303
33.669754,-117.099516
33.687103,-117.079001
33.674166,-117.091942
33.679688,-117.085279
33.69072,-117.076142
33.693579,-117.07386
33.693579,-117.07386
33.715622,-117.047779
33.708389,-117.059494
33.71347,-117.051423
33.640137,-117.224751
33.715622,-117.047779
33.715622,-117.047779
33.715622,-117.047779
33.715622,-117.047779
33.715622,-117.047779
33.715622,-117.047779
33.640045,-117.225018
33.640045,-117.225018
33.66861,-117.193853
33.640045,-117.225018
33.7257,-117.005367
33.622101,-117.32311
33.612298,-117.337875
33.622101,-117.32311
33.727469,-116.972923
33.725006,-117.014988
33.727798,-116.965606
33.727798,-116.965606
33.726119,-116.998215
33.726791,-116.985393
33.727798,-116.965606
33.727655,-116.843319
33.731323,-116.866113
33.72551,-116.833378
33.731323,-116.866113
33.716436,-116.796227
33.607643,-117.33736
33.720439,-116.812592
33.722626,-116.821607
33.718414,-116.804118
33.710953,-116.774803
33.713425,-116.78422
33.709546,-116.768761
33.698456,-116.728671
33.701306,-116.737804
33.706787,-116.757314
33.703857,-116.746496
33.687248,-116.707821
33.735569,-117.036896
33.678822,-116.695461
33.698456,-116.728671
33.735569,-117.036896
33.678822,-116.695461
33.75293,-117.062577
33.742645,-117.048168
33.669418,-116.682816
33.738419,-117.04195
33.674835,-116.690051
33.74794,-117.055402
33.66124,-116.672338
33.654236,-116.664379
33.756271,-117.066781
33.762543,-117.074348
33.643478,-116.653224
33.650116,-116.659895
33.76634,-117.079639
33.779235,-117.101898
33.774536,-117.09363
33.635249,-116.64505
33.635249,-116.64505
33.770004,-117.085895
33.635249,-116.64505
33.635249,-116.64505
33.785426,-117.112885
33.79985,-117.137856
33.789368,-117.120143
33.601959,-117.333368
33.789368,-117.120143
33.776162,-117.096462
33.635249,-116.64505
33.818344,-117.166163
33.803814,-117.143955
33.810471,-117.15374
33.813629,-117.158708
33.827789,-117.18029
33.832352,-117.186454
33.835052,-117.190546
33.839951,-117.205456
33.833405,-117.201196
33.838961,-117.19614
33.834641,-117.200467
33.843011,-117.206211
33.624728,-117.292385
33.836541,-117.207985
33.835097,-117.199974
33.598891,-117.32563
33.836215,-117.197914
33.810471,-117.15374
33.838542,-117.197742
33.839706,-117.203465
33.837936,-117.195758
33.843567,-117.198505
33.822464,-117.172384
33.843567,-117.198505
33.841894,-117.209301
33.832956,-117.210102
33.828254,-117.201633
33.843842,-117.206689
33.835563,-117.189674
33.838852,-117.195254
33.842514,-117.198673
33.828964,-117.19503
33.840032,-117.191277
33.83226,-117.206016
33.843109,-117.203886
33.842239,-117.209323
