latitude,longitude
33.954975,-117.447813
33.960571,-117.440092
33.963593,-117.437289
33.95497,-117.447166
33.956273,-117.443733
33.95497,-117.447166
33.971786,-117.420193
33.973801,-117.420025
33.973801,-117.420025
33.968237,-117.432461
33.970797,-117.42897
33.980154,-117.402649
33.994911,-117.386112
33.994911,-117.386112
33.987044,-117.369232
33.980255,-117.375688
33.979968,-117.381649
33.982528,-117.382107
33.981079,-117.378098
33.982407,-117.382694
33.983134,-117.382107
33.984391,-117.38205
33.983692,-117.377071
33.983734,-117.382134
33.983505,-117.377649
33.979523,-117.380788
33.982296,-117.383194
33.983368,-117.382022
33.980667,-117.378154
33.980255,-117.379163
33.98259,-117.382526
33.983041,-117.382278
33.980108,-117.384911
33.980108,-117.384911
33.983041,-117.372036
33.97435,-117.369522
33.96577,-117.369633
33.95517,-117.371484
33.932648,-117.381741
33.92189,-117.38914
33.900364,-117.406082
33.893521,-117.411289
33.885653,-117.416267
33.86922,-117.424622
33.86922,-117.424622
33.835004,-117.409916
33.835004,-117.409916
33.827957,-117.424061
33.829559,-117.447996
33.829744,-117.457066
33.842546,-117.46376
33.846085,-117.462737
33.860825,-117.447043
33.863867,-117.444305
33.868607,-117.440709
33.868607,-117.440709
33.880905,-117.433262
33.880905,-117.433262
33.907837,-117.419969
33.912235,-117.41787
33.927338,-117.409768
33.933792,-117.405508
33.949849,-117.397728
33.954758,-117.394858
33.958089,-117.392178
33.956268,-117.386954
33.958969,-117.388355
33.955901,-117.386112
33.951618,-117.390347
33.94693,-117.417054
33.948592,-117.425137
33.95137,-117.44183
33.951338,-117.442703
33.951267,-117.44424
33.951508,-117.445697
33.951508,-117.445697
33.951513,-117.445693
33.951508,-117.445697
33.951508,-117.445697
33.951508,-117.445753
33.95224,-117.446875
33.954071,-117.447435
33.955261,-117.447211
33.955582,-117.447183
33.955605,-117.447183
33.955598,-117.447181
33.955598,-117.447181
33.955598,-117.447181
33.955605,-117.447183
33.971123,-117.427998
33.97387,-117.418442
33.979843,-117.400127
33.978153,-117.402935
33.978153,-117.402935
33.980154,-117.402649
33.99156,-117.38863
33.998932,-117.374342
33.998932,-117.374342
33.980255,-117.375688
33.981674,-117.382414
33.98172,-117.37821
33.981354,-117.376921
33.98034,-117.381306
33.97934,-117.378658
33.980713,-117.383251
33.980713,-117.383251
33.98453,-117.379875
33.98183,-117.377071
33.980201,-117.382393
33.981272,-117.382507
33.983276,-117.381909
33.979568,-117.377145
33.977829,-117.381349
33.985062,-117.382806
33.985973,-117.378273
33.949265,-117.373221
33.938736,-117.377986
33.932648,-117.381741
33.914469,-117.394753
33.907333,-117.400463
33.877693,-117.420444
33.877693,-117.420444
33.850433,-117.42507
33.847733,-117.424005
33.847733,-117.424005
33.843246,-117.421034
33.828415,-117.431124
33.829239,-117.440821
33.831606,-117.461815
33.839985,-117.463875
33.852555,-117.456779
33.856796,-117.451247
33.872864,-117.43813
33.876434,-117.435944
33.895981,-117.425743
33.902412,-117.422562
33.918411,-117.4147
33.921936,-117.412851
33.939281,-117.402821
33.943518,-117.401276
33.958089,-117.392178
33.960388,-117.387347
33.948406,-117.394981
33.945007,-117.403221
33.945333,-117.410145
33.948592,-117.425137
33.949722,-117.430956
33.95078,-117.436123
33.951385,-117.439327
33.951466,-117.445364
33.951508,-117.445697
33.951508,-117.445697
33.951501,-117.445693
33.951513,-117.445693
33.951736,-117.445249
33.955605,-117.447183
33.955605,-117.447183
33.955598,-117.447181
33.955598,-117.447181
33.955598,-117.447181
33.955605,-117.447183
33.955605,-117.447183
33.973801,-117.420025
33.961899,-117.439644
33.959702,-117.445473
33.961899,-117.439644
33.961899,-117.439644
