latitude,longitude
37.890496,-121.242251
37.888321,-121.244065
37.884444,-121.255984
37.879975,-121.270434
37.877647,-121.27724
37.872757,-121.28877
37.86573,-121.302557
37.888321,-121.244065
37.882535,-121.262074
37.867964,-121.298138
37.875925,-121.307274
37.880722,-121.288595
37.877321,-121.304467
37.8815,-121.278135
37.868912,-121.310392
37.877321,-121.304467
37.880208,-121.293899
37.884584,-121.254491
37.882462,-121.26972
37.883652,-121.25996
37.888458,-121.243539
37.88733,-121.24458
37.885803,-121.248098
37.88942,-121.242838
37.889053,-121.24313
37.889285,-121.243147
37.890356,-121.242311
37.889285,-121.243147
37.87674,-121.280063
37.87262,-121.286495
37.890356,-121.242311
37.890356,-121.242311
37.889611,-121.242908
37.881046,-121.264463
37.879556,-121.27115
37.87262,-121.286495
37.867355,-121.285848
37.883011,-121.256571
37.851019,-121.283629
37.859436,-121.283978
37.839935,-121.285147
37.844223,-121.284346
37.850088,-121.273837
37.839935,-121.285147
37.855728,-121.27083
37.84314,-121.276849
37.860535,-121.267557
37.863739,-121.262941
37.875971,-121.253715
37.87207,-121.256863
37.863739,-121.262941
37.878485,-121.251446
37.885887,-121.245416
37.890335,-121.242371
37.888122,-121.243863
37.890335,-121.242371
37.88477,-121.246311
37.890335,-121.242371
37.843002,-121.276907
37.843002,-121.276907
37.888367,-121.243598
37.843002,-121.276907
37.888367,-121.243598
37.879303,-121.260369
37.881418,-121.254909
37.876297,-121.267568
37.869873,-121.283452
37.872482,-121.276966
37.862238,-121.301362
37.866623,-121.291283
37.853302,-121.325411
37.860031,-121.306711
37.856094,-121.318398
37.84669,-121.342203
37.84996,-121.333183
37.843757,-121.349786
37.843757,-121.349786
37.840988,-121.356441
37.843002,-121.276907
37.833143,-121.373311
37.888367,-121.243598
37.836309,-121.366743
37.822449,-121.391855
37.818154,-121.397015
37.826797,-121.385076
37.813172,-121.402807
37.800371,-121.426033
37.809867,-121.4083
37.8047,-121.417614
37.790548,-121.444662
37.796768,-121.433054
37.78157,-121.460519
37.790548,-121.444662
37.78775,-121.44965
37.76271,-121.494698
37.771866,-121.477992
37.776024,-121.470277
37.758148,-121.502221
37.741013,-121.522405
37.752887,-121.509386
37.767929,-121.485063
37.748108,-121.515393
37.72316,-121.54543
37.736361,-121.527
37.730484,-121.533625
37.718811,-121.551182
37.736361,-121.527
37.726771,-121.539658
37.71504,-121.55566
37.697164,-121.579723
