latitude,longitude
34.059174,-117.206969
34.059174,-117.206969
34.065445,-117.2105
34.071625,-117.214424
34.078812,-117.219749
34.101917,-117.228213
34.084245,-117.223206
34.089386,-117.225859
34.091217,-117.226756
34.096802,-117.227652
34.100352,-117.228184
34.100771,-117.228241
34.101379,-117.228073
34.101379,-117.228073
34.101986,-117.228171
34.101986,-117.228171
34.101917,-117.228213
34.106078,-117.234993
34.105637,-117.240825
34.102386,-117.255006
34.099594,-117.265768
34.094393,-117.281799
34.0916,-117.290783
34.101917,-117.228213
34.087143,-117.304445
34.083298,-117.317056
34.083298,-117.317056
34.0808,-117.326717
34.0781,-117.338505
34.076378,-117.347317
34.073273,-117.361674
34.072886,-117.363625
34.072886,-117.363625
34.072886,-117.363625
34.063614,-117.39794
34.063614,-117.39794
34.063614,-117.39794
34.062836,-117.391943
34.064163,-117.396539
34.062515,-117.392391
34.062881,-117.392167
34.062881,-117.392167
34.062459,-117.393322
34.067579,-117.391777
34.067579,-117.391777
34.062927,-117.392559
34.065717,-117.39584
34.063948,-117.391834
34.065159,-117.391605
34.064135,-117.397099
34.06311,-117.392521
34.06311,-117.392521
34.063203,-117.392693
34.064041,-117.391834
34.065298,-117.399101
34.065298,-117.399101
34.062149,-117.39312
34.062149,-117.39312
34.062149,-117.39312
34.062149,-117.394802
34.064833,-117.393265
34.064833,-117.393265
34.064209,-117.394353
34.064209,-117.394353
34.067963,-117.393961
34.063622,-117.400818
34.063622,-117.400818
34.064553,-117.393036
34.067596,-117.392896
34.064117,-117.398669
34.065857,-117.391891
34.065857,-117.391891
34.067067,-117.398815
34.060783,-117.396011
34.060913,-117.393288
34.062607,-117.386394
34.065112,-117.376728
34.067596,-117.367448
34.069581,-117.35939
34.069581,-117.35939
34.071862,-117.348976
34.073678,-117.339993
34.075195,-117.333704
34.077681,-117.324886
34.080276,-117.315991
34.083081,-117.306461
34.085316,-117.297421
34.087038,-117.288151
34.090164,-117.276138
34.092578,-117.266178
34.095325,-117.256794
34.097559,-117.247696
34.099457,-117.237686
34.099794,-117.232189
34.099794,-117.232189
34.100492,-117.228756
34.101334,-117.228157
34.101993,-117.228169
34.101993,-117.228169
34.101993,-117.228169
34.117064,-117.241516
34.117437,-117.263718
34.116925,-117.239113
34.118362,-117.279277
34.117218,-117.254782
34.117949,-117.274246
34.116552,-117.274647
34.114132,-117.282429
34.118228,-117.290897
34.112915,-117.277483
34.118694,-117.315845
34.118414,-117.282715
34.118554,-117.325115
34.119003,-117.306406
34.118228,-117.290897
34.118368,-117.330608
34.118368,-117.330608
34.118554,-117.325115
34.113526,-117.302113
34.118368,-117.330608
34.113154,-117.284832
34.113247,-117.293644
34.11351,-117.308593
34.113247,-117.277966
34.117813,-117.266609
34.113247,-117.277966
34.115295,-117.24828
34.114876,-117.268753
34.111221,-117.24032
34.099887,-117.236137
34.117813,-117.266609
34.098118,-117.230587
34.115295,-117.24828
34.098118,-117.230587
34.098118,-117.230587
34.101132,-117.228155
34.098118,-117.230587
34.098633,-117.23365
34.101947,-117.228112
34.101947,-117.228112
34.101917,-117.228227
34.101132,-117.228155
34.083128,-117.291698
34.095883,-117.28878
34.091492,-117.295196
34.101379,-117.2781
34.083298,-117.297886
34.091309,-117.291721
34.092531,-117.293472
34.091554,-117.296162
34.084717,-117.292113
34.09639,-117.294467
34.09639,-117.294467
34.093414,-117.291048
34.092112,-117.294216
34.094833,-117.291721
34.09758,-117.291552
34.098397,-117.295761
34.095464,-117.290668
34.098816,-117.294159
34.090347,-117.290095
34.097652,-117.296562
34.093742,-117.298679
34.08815,-117.296149
34.10202,-117.315095
34.100492,-117.294617
34.101837,-117.306911
34.094906,-117.289181
34.101749,-117.322998
34.100693,-117.344074
34.101004,-117.33633
34.101004,-117.33633
34.100538,-117.354927
34.098397,-117.387829
34.099915,-117.36599
34.097047,-117.398872
34.099091,-117.375632
34.095092,-117.419529
34.095092,-117.419529
34.096256,-117.409973
34.095092,-117.419529
34.089924,-117.440987
34.090897,-117.444913
34.089924,-117.419701
34.090343,-117.432632
34.090297,-117.432117
34.089459,-117.394295
34.089661,-117.413411
34.08934,-117.406741
34.089294,-117.384712
34.089459,-117.380333
34.090716,-117.363682
34.091321,-117.359905
34.092764,-117.350407
34.088196,-117.331126
34.083081,-117.321625
34.089924,-117.419701
34.089294,-117.402257
34.090073,-117.368681
34.092764,-117.350407
34.093556,-117.341824
34.09108,-117.333984
34.08648,-117.32151
34.087364,-117.322769
34.08378,-117.328663
34.083081,-117.321625
34.085129,-117.320644
34.086945,-117.32769
34.084167,-117.319186
34.085587,-117.313693
34.087189,-117.304725
34.092499,-117.28051
34.089831,-117.290955
34.089831,-117.290955
34.08769,-117.300968
34.096664,-117.270701
34.099142,-117.244892
34.097838,-117.263718
34.099142,-117.244892
34.098444,-117.253361
34.099514,-117.238541
34.10083,-117.228437
34.099561,-117.232475
34.100119,-117.229328
34.10197,-117.228155
34.10197,-117.228155
34.101471,-117.228059
34.10197,-117.228155
34.258942,-117.195814
34.104076,-117.28775
34.098862,-117.300801
34.106125,-117.288208
34.106264,-117.304401
34.274963,-117.194021
34.102203,-117.289703
34.102203,-117.289703
34.116394,-117.282752
34.11937,-117.278268
34.124513,-117.25153
34.124792,-117.24678
34.124746,-117.234478
34.10105,-117.223892
34.099777,-117.227765
34.10183,-117.228012
34.10183,-117.228012
34.101974,-117.228171
34.101974,-117.228171
34.101974,-117.228171
34.258942,-117.195814
34.101917,-117.228213
34.108638,-117.266979
34.106552,-117.279277
34.104813,-117.297774
34.104813,-117.297774
34.104675,-117.303436
34.09835,-117.293873
34.101888,-117.287865
34.107925,-117.295756
34.107288,-117.301598
34.100166,-117.302113
34.099421,-117.293129
34.109253,-117.287405
34.122528,-117.268459
34.123901,-117.259939
34.124792,-117.24678
34.124908,-117.237462
34.121841,-117.228045
34.267822,-117.194637
34.121841,-117.228045
34.099777,-117.227765
34.260956,-117.195534
34.258942,-117.195814
34.229141,-117.198393
34.101917,-117.228213
