latitude,longitude
32.694428,-117.139145
32.694428,-117.139145
32.698897,-117.145031
32.704468,-117.152325
32.708588,-117.1604
32.712891,-117.166168
32.715516,-117.160053
32.710556,-117.153369
32.706573,-117.150128
32.699524,-117.143921
32.695221,-117.138263
32.691513,-117.130957
32.691513,-117.130957
32.683411,-117.11651
32.676645,-117.109157
32.668259,-117.099811
32.658583,-117.094583
32.650203,-117.091052
32.64473,-117.087506
32.64473,-117.087506
32.635586,-117.078833
32.63391,-117.066221
32.63391,-117.066221
32.645176,-117.057645
32.656441,-117.056804
32.656441,-117.056804
32.674759,-117.05636
32.683228,-117.053284
32.692978,-117.048999
32.69885,-117.047107
32.708068,-117.04464
32.708068,-117.04464
32.72599,-117.05103
32.734589,-117.06015
32.738159,-117.065918
32.738159,-117.065918
32.744064,-117.0763
32.74801,-117.085391
32.750381,-117.094373
32.753082,-117.105743
32.755086,-117.115939
32.756063,-117.121881
32.755691,-117.119695
32.759399,-117.138647
32.753906,-117.137549
32.753906,-117.137549
32.759079,-117.135571
32.75732,-117.143237
32.753084,-117.139986
32.752853,-117.132385
32.752853,-117.126892
32.752432,-117.11891
32.752665,-117.109157
32.752665,-117.109157
32.752153,-117.098395
32.751641,-117.092902
32.751082,-117.084942
32.750656,-117.07619
32.750104,-117.070313
32.748505,-117.061414
32.748093,-117.059161
32.746994,-117.049384
32.74261,-117.045649
32.741455,-117.050043
32.741455,-117.050043
32.741539,-117.059999
32.741272,-117.064709
32.741135,-117.070862
32.742144,-117.07659
32.744704,-117.082812
32.744704,-117.082812
32.747452,-117.089099
32.747452,-117.089099
32.751251,-117.101459
32.752396,-117.107062
32.752853,-117.109369
32.753128,-117.11673
32.753677,-117.125793
32.754364,-117.129749
32.757339,-117.147272
32.757111,-117.152875
32.755365,-117.134829
32.760206,-117.166611
32.756342,-117.139594
32.766258,-117.156073
32.765467,-117.147329
32.765467,-117.147329
32.757274,-117.161678
32.762375,-117.130682
32.764908,-117.164986
32.760361,-117.118762
32.764755,-117.142053
32.758437,-117.101814
32.761002,-117.122882
32.757134,-117.088922
32.755142,-117.077509
32.75327,-117.065268
32.75766,-117.093933
32.759399,-117.109918
32.752525,-117.042903
32.753829,-117.069472
32.752625,-117.039221
32.752618,-117.052712
32.753223,-117.030515
32.749406,-117.013419
32.752625,-117.039221
32.746262,-117.00368
32.751594,-117.019473
32.741684,-116.982642
32.739761,-116.971326
32.739444,-116.966951
32.742516,-116.987411
32.74382,-116.943409
32.746334,-116.931078
32.739444,-116.966951
32.739444,-116.966951
32.748184,-116.923315
32.749969,-116.932764
32.748047,-116.923755
32.745449,-116.937804
32.74801,-116.956862
32.746536,-116.966986
32.746241,-116.968857
32.749054,-116.941553
32.750244,-117.000135
32.753689,-117.00972
32.747032,-116.98842
32.757294,-117.016425
32.750244,-117.000135
32.766631,-117.036457
32.768725,-117.044809
32.771667,-117.060095
32.763232,-117.026984
32.770935,-117.056085
32.774265,-117.076646
32.771667,-117.060095
32.779805,-117.115099
32.778455,-117.101758
32.774265,-117.076646
32.802658,-117.130463
32.807503,-117.133596
32.782608,-117.119202
32.811181,-117.136847
32.814285,-117.141559
32.793584,-117.125637
32.667618,-117.088824
32.815201,-117.144415
32.815567,-117.146008
32.811181,-117.136847
32.81575,-117.147272
32.81575,-117.147272
32.81575,-117.147272
32.815836,-117.148226
32.815836,-117.148226
32.671943,-117.08298
32.815836,-117.148226
32.676599,-117.085727
32.815836,-117.147665
32.81575,-117.146942
32.807831,-117.15661
32.815063,-117.148535
32.811228,-117.150524
32.80719,-117.163586
32.805688,-117.188808
32.806572,-117.171488
32.804896,-117.207025
32.805688,-117.188808
32.804993,-117.196106
32.815018,-117.219946
32.806412,-117.179352
32.819778,-117.224561
32.808528,-117.214256
32.819778,-117.224561
32.827515,-117.230328
32.849854,-117.251257
32.84198,-117.23703
32.846142,-117.243403
32.835938,-117.232635
32.852051,-117.274109
32.851639,-117.259277
32.852554,-117.266968
32.845139,-117.281305
32.83287,-117.266309
32.843216,-117.282349
32.833969,-117.275592
32.819824,-117.22533
32.829476,-117.254333
32.826683,-117.245645
32.819824,-117.22533
32.814285,-117.2211
32.809479,-117.217145
32.789932,-117.220001
32.782598,-117.219917
32.821562,-117.234603
32.824542,-117.227484
32.819467,-117.228045
32.801559,-117.213354
32.796796,-117.217563
32.776474,-117.219836
32.775522,-117.230791
32.774917,-117.223617
32.775522,-117.230791
32.774731,-117.240264
32.771118,-117.236975
32.765281,-117.204951
32.767914,-117.215717
32.77066,-117.229779
32.762558,-117.1966
32.755875,-117.163422
32.759811,-117.189404
32.758391,-117.182922
32.756836,-117.171881
32.751434,-117.139746
32.754868,-117.15661
32.750151,-117.132811
32.753363,-117.148002
