latitude,longitude
37.362076,-121.924049
37.366608,-121.917387
37.367295,-121.912716
37.365784,-121.903829
37.367388,-121.888235
37.364781,-121.874264
37.363632,-121.869935
37.370414,-121.892176
37.367388,-121.888235
37.355285,-121.863636
37.350862,-121.864412
37.361069,-121.880162
37.364868,-121.886415
37.370926,-121.89343
37.354307,-121.872472
37.358171,-121.878145
37.401278,-121.924359
37.374418,-121.897729
37.381027,-121.905699
37.387825,-121.913193
37.395584,-121.920134
37.401278,-121.924359
37.43866,-121.945437
37.407982,-121.928777
37.41408,-121.932121
37.42836,-121.956248
37.422318,-121.935736
37.429582,-121.937972
37.438194,-121.941316
37.434265,-121.955196
37.428772,-121.957768
37.434517,-121.954691
37.420624,-121.94906
37.432515,-121.958512
37.424508,-121.954691
37.428772,-121.957768
37.429768,-121.950332
37.434082,-121.951865
37.414764,-121.939652
37.407074,-121.926503
37.401947,-121.91838
37.409518,-121.930986
37.39682,-121.910667
37.378418,-121.889395
37.393387,-121.905641
37.388523,-121.899401
37.384054,-121.894624
37.384054,-121.894624
37.372788,-121.884533
37.341971,-121.851216
37.355098,-121.86877
37.348938,-121.864092
37.343399,-121.858423
37.365646,-121.878292
37.360977,-121.87426
37.346054,-121.845216
37.365852,-121.847873
37.357864,-121.84095
37.363953,-121.845801
37.349512,-121.841663
37.353888,-121.839692
37.365247,-121.858142
37.361618,-121.862923
37.358031,-121.867994
37.333777,-121.863874
37.333282,-121.85404
37.337723,-121.853514
37.335938,-121.860585
37.332241,-121.856888
37.335938,-121.853456
37.337997,-121.85743
37.358031,-121.867994
37.33671,-121.853903
37.33685,-121.859456
37.337997,-121.85743
37.333126,-121.856053
37.332825,-121.857897
37.332381,-121.856769
37.335342,-121.853339
37.338455,-121.85743
37.337952,-121.855618
37.333684,-121.859754
37.334427,-121.853923
37.337631,-121.853865
37.333191,-121.854917
37.337631,-121.853865
37.331869,-121.857366
37.334152,-121.852988
37.349885,-121.869248
37.341598,-121.865964
37.336853,-121.86117
37.339462,-121.856378
37.33699,-121.861367
37.334243,-121.852828
37.338991,-121.853963
37.332008,-121.858262
37.339279,-121.857196
37.332055,-121.854022
37.335709,-121.85217
37.339279,-121.854566
37.339279,-121.854566
37.332008,-121.853246
37.335663,-121.851703
37.338043,-121.860644
37.332008,-121.859993
37.331726,-121.854917
37.335983,-121.852053
37.337585,-121.860878
37.331131,-121.858189
37.339503,-121.85659
37.33429,-121.861546
37.334793,-121.861053
37.329437,-121.854566
37.331726,-121.850417
37.337921,-121.85241
37.330891,-121.855276
37.34024,-121.8548
37.338293,-121.854202
37.337548,-121.860172
37.338959,-121.86117
37.332102,-121.86077
37.332521,-121.852709
37.332707,-121.860829
37.336029,-121.861754
37.334755,-121.852291
37.332707,-121.860829
37.332102,-121.853545
37.331171,-121.86059
37.327214,-121.857784
37.339178,-121.855575
37.305055,-121.83396
37.310989,-121.840307
37.320743,-121.851336
37.315157,-121.844589
37.293823,-121.821666
37.289154,-121.817224
37.305055,-121.83396
37.299608,-121.826855
37.256128,-121.797718
37.282288,-121.810329
37.279037,-121.807231
37.270746,-121.801419
37.264297,-121.799167
37.247406,-121.796654
37.256128,-121.797718
37.240265,-121.795427
37.227905,-121.772402
37.234726,-121.794141
37.22815,-121.788343
37.234295,-121.781417
37.224884,-121.782629
37.237289,-121.789116
37.231293,-121.775441
37.23923,-121.794195
37.223694,-121.776785
37.260365,-121.804703
37.25267,-121.802031
37.243744,-121.799342
37.24882,-121.801002
37.264847,-121.806822
37.257432,-121.803629
37.264847,-121.806822
37.285858,-121.81851
37.266975,-121.807928
37.297141,-121.826318
37.271301,-121.810562
37.293556,-121.82375
37.288467,-121.819971
37.30282,-121.830915
37.313667,-121.839633
37.306079,-121.833722
37.275513,-121.8129
37.279311,-121.814914
37.323486,-121.84732
37.328145,-121.850619
37.332102,-121.852888
37.317996,-121.843394
37.338107,-121.854022
37.338107,-121.854022
37.348954,-121.84232
37.341476,-121.851352
37.345276,-121.84626
37.310175,-121.836886
37.353236,-121.839752
37.358497,-121.841902
37.377583,-121.860232
37.362076,-121.844281
37.365247,-121.847156
37.391409,-121.880175
37.393616,-121.884545
37.413708,-121.91594
37.417525,-121.921135
37.403233,-121.919761
37.394342,-121.912716
37.36972,-121.851352
37.374231,-121.856172
37.384473,-121.869308
37.387126,-121.873129
37.395739,-121.888773
37.399789,-121.894923
37.403001,-121.900476
37.406213,-121.90561
37.411697,-121.913179
37.417525,-121.921135
37.421203,-121.925493
37.422775,-121.927146
37.418316,-121.931046
37.408401,-121.923881
37.38382,-121.904881
37.376233,-121.900535
37.368645,-121.897251
37.365326,-121.877065
37.370042,-121.872711
37.358171,-121.892594
