latitude,longitude
37.520126,-122.259621
37.517054,-122.25574
37.520126,-122.259621
37.528226,-122.262427
37.513184,-122.23377
37.523483,-122.248146
37.527481,-122.253829
37.517054,-122.23932
37.491486,-122.194616
37.507187,-122.225004
37.497222,-122.205227
37.502655,-122.217524
37.499876,-122.211496
37.48233,-122.180358
37.486359,-122.186903
37.47821,-122.174397
37.47821,-122.174397
37.473221,-122.168144
37.462555,-122.155054
37.467316,-122.160839
37.462555,-122.155054
37.462555,-122.155054
37.422089,-122.101233
37.441635,-122.128582
37.427999,-122.110649
37.434723,-122.120108
37.410216,-122.078585
37.415451,-122.089194
37.404968,-122.067572
37.410216,-122.078585
37.394577,-122.042327
37.397964,-122.051502
37.385823,-122.019594
37.391968,-122.035373
37.385823,-122.019594
37.377686,-121.997798
37.382629,-122.011238
37.36615,-121.960923
37.374939,-121.989149
37.36615,-121.960923
37.370682,-121.977344
37.357269,-121.934509
37.363403,-121.916569
37.359893,-121.945436
37.359009,-121.928432
37.361343,-121.892551
37.339188,-121.847086
37.359146,-121.887408
37.346237,-121.860468
37.363815,-121.904706
37.352966,-121.874026
37.321814,-121.82584
37.334709,-121.840051
37.331406,-121.835691
37.319138,-121.822893
37.319138,-121.822893
37.331217,-121.8176
37.318229,-121.821063
37.321701,-121.81214
37.321701,-121.81214
37.330261,-121.815734
37.330261,-121.815734
37.330077,-121.816481
37.334885,-121.821023
37.342941,-121.829146
37.350952,-121.817108
37.336258,-121.801797
37.329941,-121.787655
37.325363,-121.770007
37.331217,-121.8176
37.331217,-121.8176
37.330263,-121.815735
37.330261,-121.815734
37.330077,-121.816481
37.338991,-121.825183
37.346766,-121.830677
37.350769,-121.82675
37.343367,-121.807987
37.332381,-121.794314
37.329941,-121.787655
37.327103,-121.777078
37.326233,-121.761825
37.331869,-121.760519
37.338852,-121.789478
37.3355,-121.767684
37.337631,-121.783272
37.336212,-121.772227
37.344269,-121.814244
37.34076,-121.79724
37.342392,-121.805361
37.344624,-121.819989
37.321301,-121.825183
37.328979,-121.83236
37.33969,-121.831035
37.332916,-121.800511
37.31902,-121.814973
37.325546,-121.800686
37.320138,-121.807211
37.325546,-121.800686
37.341339,-121.828503
37.344269,-121.809978
37.331131,-121.832886
37.340286,-121.805128
37.345505,-121.817224
37.324677,-121.811673
37.324951,-121.828561
37.322617,-121.820672
37.347702,-121.817283
37.331039,-121.804251
37.344727,-121.808576
37.331039,-121.804251
37.340341,-121.804584
37.322342,-121.826691
37.346832,-121.827568
37.343491,-121.835223
37.330124,-121.836567
37.321069,-121.816108
37.338945,-121.804763
37.325455,-121.8084
37.345459,-121.810855
37.325455,-121.8084
37.332102,-121.804465
37.346786,-121.818627
37.322419,-121.812406
37.334839,-121.835223
37.322419,-121.826557
37.332846,-121.802673
37.341431,-121.8316
37.32605,-121.831871
37.324188,-121.809361
37.344269,-121.806355
37.338318,-121.802498
37.344269,-121.806355
37.335127,-121.831512
37.347464,-121.812286
37.344997,-121.827273
37.327194,-121.823127
37.327194,-121.823127
37.34495,-121.819153
37.338501,-121.808926
37.3301,-121.810435
37.343399,-121.813367
37.335453,-121.829184
37.330053,-121.812645
37.329308,-121.822138
37.343507,-121.812943
37.330053,-121.812645
37.337311,-121.808283
37.328517,-121.825064
37.338107,-121.829303
37.329712,-121.810621
37.344438,-121.822317
37.326655,-121.819033
37.330673,-121.823536
37.336152,-121.807749
37.339829,-121.827213
37.34239,-121.810973
37.344671,-121.819451
37.329355,-121.815869
37.337455,-121.808286
37.329355,-121.815869
37.334427,-121.824529
37.342297,-121.820884
37.332138,-121.809511
37.328889,-121.823153
37.323164,-121.817242
37.332288,-121.809898
37.332288,-121.809898
37.326143,-121.806375
37.327214,-121.81778
37.332148,-121.823392
37.319439,-121.826378
37.329025,-121.824178
37.324493,-121.829379
37.321534,-121.815332
37.324095,-121.832408
37.321426,-121.818452
37.316437,-121.820906
37.315017,-121.826795
37.32037,-121.839872
37.32605,-121.823653
37.32605,-121.832169
37.308593,-121.833244
37.313341,-121.840648
37.313341,-121.840648
37.31092,-121.826198
37.321301,-121.832289
37.320231,-121.82584
37.319229,-121.83984
37.307801,-121.836289
37.313062,-121.828766
37.317158,-121.847096
37.31218,-121.854508
37.316391,-121.82301
37.313574,-121.843156
37.310548,-121.829781
37.318222,-121.833412
37.318927,-121.837185
37.317158,-121.847096
37.301788,-121.842937
37.298631,-121.852351
37.305613,-121.857665
37.310944,-121.851294
37.307556,-121.844223
37.298863,-121.847634
37.302429,-121.865903
37.295609,-121.850709
37.309757,-121.86059
37.295651,-121.862023
37.311172,-121.856904
37.298863,-121.847634
37.31092,-121.86477
37.306137,-121.84843
37.294348,-121.861068
37.303798,-121.871577
37.295651,-121.867278
37.307615,-121.868591
37.299911,-121.853631
37.297653,-121.854321
37.299236,-121.873786
37.299236,-121.873786
37.307281,-121.858189
37.293091,-121.86152
37.309067,-121.870929
37.310257,-121.862864
37.304077,-121.853187
37.291601,-121.863218
37.300095,-121.876773
37.295013,-121.855793
37.293411,-121.872799
37.300772,-121.852888
37.310269,-121.861725
37.30715,-121.855276
37.300772,-121.852888
37.29039,-121.869117
37.308081,-121.873249
37.289886,-121.860878
37.296799,-121.877006
37.307522,-121.857486
37.293594,-121.853865
37.300095,-121.85293
37.308014,-121.875604
37.311127,-121.865553
37.311127,-121.865553
37.29067,-121.862023
