latitude,longitude
33.592467,-117.116375
33.584227,-117.125473
33.579479,-117.107563
33.568451,-117.107195
33.560623,-117.10854
33.547119,-117.119807
33.547498,-117.144184
33.591293,-117.121489
33.587677,-117.109493
33.560623,-117.10854
33.549957,-117.113697
33.545471,-117.128551
33.544937,-117.136745
33.565979,-117.164097
33.551548,-117.150021
33.560623,-117.158876
33.556436,-117.15517
33.571658,-117.170792
33.588743,-117.192993
33.575409,-117.175299
33.583511,-117.185837
33.580177,-117.181492
33.598286,-117.208271
33.598286,-117.208271
33.593994,-117.201252
33.600847,-117.214622
33.607224,-117.237854
33.603128,-117.222919
33.61025,-117.246323
33.605118,-117.23124
33.614393,-117.256622
33.625612,-117.289352
33.622238,-117.279894
33.616333,-117.261732
33.619933,-117.272758
33.63501,-117.316888
33.629379,-117.300353
33.632409,-117.309494
33.645164,-117.342854
33.645164,-117.342854
33.647539,-117.352295
33.6386,-117.32523
33.642242,-117.333816
33.649121,-117.359333
33.662064,-117.3971
33.658897,-117.384338
33.652566,-117.368431
33.664111,-117.413177
33.656151,-117.377129
33.663116,-117.404555
33.673934,-117.449512
33.671373,-117.442017
33.666485,-117.427025
33.668813,-117.434235
33.68478,-117.476921
33.681568,-117.469311
33.678682,-117.462444
33.68883,-117.487621
33.699212,-117.52018
33.692415,-117.497406
33.696744,-117.511311
33.68478,-117.476921
33.702255,-117.530057
33.710083,-117.553038
33.714111,-117.56509
33.702255,-117.530057
33.707544,-117.545414
33.717507,-117.575054
33.726631,-117.602062
33.72286,-117.59079
33.72016,-117.582893
33.729331,-117.609787
33.736633,-117.628765
33.732915,-117.619286
33.740753,-117.639808
33.744041,-117.649326
33.736633,-117.628765
33.756134,-117.687845
33.749581,-117.666607
33.746509,-117.656937
33.751785,-117.674
33.758514,-117.695356
33.761993,-117.706511
33.770599,-117.733416
33.767853,-117.725737
33.761993,-117.706511
33.765289,-117.718001
33.775085,-117.745747
33.789569,-117.7985
33.77861,-117.758023
33.781723,-117.769962
33.785147,-117.782478
33.792316,-117.807827
33.796971,-117.822762
33.796971,-117.822762
33.800509,-117.833977
33.803879,-117.842999
33.822109,-117.88805
33.810332,-117.859268
33.826625,-117.900639
33.830292,-117.910935
33.815002,-117.869848
33.842127,-117.950821
33.842127,-117.950821
33.834503,-117.924836
33.838257,-117.937784
33.8638,-118.016146
33.85167,-117.978516
33.847201,-117.96627
33.85524,-117.98868
33.859772,-118.002357
33.880346,-118.069725
33.873917,-118.048993
33.87735,-118.059194
33.867684,-118.0299
33.883884,-118.083515
33.894928,-118.124159
33.891403,-118.112052
33.883884,-118.083515
33.888657,-118.101906
33.898874,-118.137245
33.909897,-118.17186
33.901978,-118.147197
33.906834,-118.162308
33.914795,-118.186994
33.914795,-118.186994
33.926605,-118.223709
33.922755,-118.211632
33.930405,-118.235648
33.919636,-118.202076
33.941935,-118.271027
33.937637,-118.258069
33.933649,-118.245735
33.955719,-118.313393
33.946264,-118.284187
33.953247,-118.30549
33.953247,-118.30549
33.961487,-118.331623
33.986435,-118.408402
33.963135,-118.336935
33.977097,-118.380208
33.981877,-118.394566
33.995682,-118.435924
34.002592,-118.44532
33.968994,-118.355433
33.97238,-118.365841
33.991104,-118.422528
34.025986,-118.468099
34.008774,-118.451451
34.033224,-118.474903
34.01825,-118.460587
34.025986,-118.468099
34.049698,-118.48895
34.039881,-118.480625
34.087326,-118.523086
34.060876,-118.498363
34.092019,-118.527775
34.10202,-118.537436
34.10202,-118.537436
34.108658,-118.543826
34.124634,-118.554027
34.114411,-118.548832
34.069907,-118.506317
34.15123,-118.562379
34.141571,-118.55924
34.132095,-118.556101
34.172104,-118.568825
34.158737,-118.564902
34.197181,-118.57235
34.190151,-118.571491
34.190151,-118.571491
34.222552,-118.579845
34.207031,-118.574711
34.2138,-118.577099
34.179025,-118.569832
34.23014,-118.582191
34.253183,-118.589859
34.239578,-118.586146
34.244152,-118.587742
34.253183,-118.589859
34.287539,-118.595238
34.26403,-118.591404
34.268738,-118.592143
34.295546,-118.596783
34.280975,-118.594036
34.311746,-118.600731
34.319824,-118.603298
34.311746,-118.600731
34.326037,-118.605194
34.3495,-118.610916
34.38176,-118.621403
34.305267,-118.598926
34.337082,-118.607894
34.344798,-118.609543
34.358996,-118.613949
34.366928,-118.616582
34.375076,-118.619329
34.391769,-118.624592
34.399916,-118.627281
34.414906,-118.630199
34.414906,-118.630199
34.43362,-118.633747
34.447911,-118.638725
34.45665,-118.641862
34.475936,-118.646679
34.492694,-118.651772
34.408016,-118.629112
34.440582,-118.636088
34.469193,-118.645337
34.484362,-118.649082
34.503387,-118.654586
34.423599,-118.631324
34.503387,-118.654586
34.537943,-118.664131
34.52165,-118.658695
34.530899,-118.661648
34.51071,-118.656235
34.566247,-118.671799
34.546555,-118.667393
34.575092,-118.673401
34.546555,-118.667393
34.55983,-118.670729
34.603546,-118.681379
34.580771,-118.67466
34.589895,-118.677521
34.595947,-118.679409
34.609354,-118.681984
34.640358,-118.690338
34.622901,-118.685474
34.618106,-118.683987
34.634033,-118.689002
34.665619,-118.695616
34.655301,-118.693485
34.648682,-118.692141
34.672714,-118.697354
34.690635,-118.701897
34.672714,-118.697354
34.699081,-118.704585
34.67981,-118.699036
34.72998,-118.71204
34.715633,-118.709164
34.705719,-118.706715
34.721638,-118.71048
34.736395,-118.713741
34.741842,-118.715572
34.768433,-118.722578
34.755707,-118.719215
34.755707,-118.719215
34.748127,-118.717403
34.803085,-118.7339
34.776535,-118.7251
34.783506,-118.727474
34.793976,-118.73149
34.81181,-118.735771
34.835678,-118.741748
34.818924,-118.737712
34.843838,-118.743382
34.825683,-118.739491
34.869415,-118.749819
34.859759,-118.747215
34.851746,-118.744887
34.859759,-118.747215
34.875866,-118.751278
34.885688,-118.754368
34.917068,-118.762936
34.910797,-118.761478
34.892075,-118.756434
34.900314,-118.758676
34.92591,-118.764668
34.949203,-118.769998
34.933731,-118.766131
34.959457,-118.773137
34.944168,-118.768541
34.949203,-118.769998
34.968155,-118.776052
34.989779,-118.783207
34.975891,-118.778743
34.98317,-118.781153
34.998962,-118.785973
35.007065,-118.788215
35.036611,-118.796082
35.014917,-118.790302
35.022675,-118.792363
35.043091,-118.797744
35.030419,-118.794422
35.070175,-118.804722
35.055267,-118.800827
35.059887,-118.802032
35.055267,-118.800827
35.079718,-118.807297
35.113586,-118.815401
35.087865,-118.809299
35.097565,-118.811477
35.105759,-118.813439
35.113586,-118.815401
35.121735,-118.817531
35.15451,-118.826275
35.136246,-118.821399
35.149429,-118.82493
35.130798,-118.819941
35.164071,-118.828812
35.200475,-118.838425
35.174033,-118.831501
35.184357,-118.834179
35.19014,-118.835735
35.174033,-118.831501
35.206924,-118.840232
35.249308,-118.851617
35.216768,-118.842831
35.233061,-118.847234
35.241257,-118.849468
35.223332,-118.844604
35.26236,-118.855133
35.255585,-118.853302
35.255585,-118.853302
35.327591,-118.872871
35.26236,-118.855133
35.26236,-118.855133
35.309174,-118.867921
35.314295,-118.869265
35.347778,-118.87825
35.334219,-118.874642
35.34288,-118.876991
35.347778,-118.87825
35.334219,-118.874642
36.569204,-119.305329
35.347778,-118.87825
35.347778,-118.87825
35.347778,-118.87825
36.568459,-119.2982
36.570228,-119.322568
36.569204,-119.305329
36.570041,-119.330808
36.548488,-119.329698
36.555038,-119.333725
36.54538,-119.327774
36.535812,-119.322052
36.535812,-119.322052
36.535812,-119.322052
36.535812,-119.322052
36.535812,-119.322052
36.535812,-119.322052
36.556681,-119.308192
36.530891,-119.241982
36.530891,-119.241982
36.559753,-119.298706
36.551281,-119.316549
36.530891,-119.241982
36.530891,-119.241982
36.561569,-119.291655
36.563049,-119.354095
36.537277,-119.32291
36.537277,-119.32291
36.522512,-119.320523
36.522512,-119.320523
36.522512,-119.320523
36.545229,-119.320874
36.562407,-119.35617
36.562407,-119.35617
36.555176,-119.361362
36.562407,-119.35617
36.562407,-119.35617
36.562407,-119.35617
36.559204,-119.34145
36.555176,-119.361362
36.555176,-119.361362
36.555176,-119.361362
36.559195,-119.341151
36.559204,-119.34145
36.559204,-119.34145
36.559204,-119.34145
36.375407,-119.367332
36.377408,-119.35728
36.375407,-119.367332
36.369448,-119.3917
36.375407,-119.367332
36.373123,-119.377441
36.367081,-119.399757
36.358612,-119.425793
36.349869,-119.440556
36.355389,-119.434243
36.349869,-119.440556
36.316099,-119.432782
36.285561,-119.416829
36.316099,-119.432782
36.163175,-119.365754
36.285561,-119.416829
36.207167,-119.388136
36.117274,-119.353423
36.138977,-119.359531
36.138977,-119.359531
36.133288,-119.357982
36.122907,-119.355118
36.117274,-119.353423
35.984711,-119.296875
36.117274,-119.353423
35.984711,-119.296875
35.984711,-119.296875
35.984711,-119.296875
35.958671,-119.303517
35.958671,-119.303517
36.528843,-119.256533
36.52456,-119.254897
35.958671,-119.303517
36.528843,-119.256533
36.539876,-119.257527
36.563553,-119.31673
36.564222,-119.310004
36.539876,-119.257527
36.562408,-119.32703
36.38118,-119.344254
36.562408,-119.32703
36.409195,-119.343967
36.390198,-119.344196
36.360306,-119.395752
36.38118,-119.344254
36.343414,-119.34454
36.34687,-119.397544
36.370705,-119.40853
36.409195,-119.343967
36.33609,-119.34454
36.33609,-119.34454
36.33863,-119.408355
36.34687,-119.397544
36.360306,-119.395752
36.360306,-119.395752
36.372482,-119.416637
36.364001,-119.442775
36.368796,-119.436639
36.359672,-119.445288
36.335999,-119.435749
36.371796,-119.428539
36.359672,-119.445288
36.335449,-119.408798
36.334487,-119.432373
36.334487,-119.432373
36.335449,-119.408798
36.335449,-119.408798
36.335449,-119.408798
36.373591,-119.416945
36.372345,-119.408855
36.366486,-119.400215
36.352478,-119.437866
36.360214,-119.437637
36.367035,-119.433289
36.339515,-119.43062
36.346436,-119.436035
36.339515,-119.43062
36.338013,-119.412975
36.33756,-119.41414
36.338013,-119.412975
36.338013,-119.412975
36.338013,-119.412975
36.358612,-119.437466
36.367074,-119.421679
36.362698,-119.432022
36.344696,-119.438324
36.351196,-119.44067
36.344696,-119.438324
36.334254,-119.424016
36.334254,-119.424016
36.334254,-119.424016
36.36051,-119.400408
36.334254,-119.424016
36.334254,-119.424016
36.334254,-119.424016
36.370006,-119.424367
36.362961,-119.403019
36.362732,-119.438553
36.362961,-119.403019
36.368134,-119.4314
36.353806,-119.441898
36.337141,-119.416186
36.339706,-119.43306
36.338118,-119.412738
36.345474,-119.439411
36.338242,-119.429798
36.338118,-119.412738
36.360077,-119.403992
36.364838,-119.427567
36.362558,-119.406602
36.362558,-119.406602
36.342728,-119.436378
36.359346,-119.43512
36.350739,-119.438496
36.337746,-119.43173
36.343185,-119.432888
36.335185,-119.426997
36.359393,-119.404148
36.351425,-119.433517
36.335185,-119.426997
36.359393,-119.404148
36.358322,-119.429101
36.314982,-119.400291
36.330048,-119.419212
36.320251,-119.406853
36.336675,-119.427581
36.313477,-119.398441
36.313477,-119.398441
36.313477,-119.398441
36.292191,-119.373207
36.299652,-119.381905
36.282028,-119.36142
36.286743,-119.366913
36.277088,-119.355644
36.271271,-119.348946
36.266098,-119.342937
36.266098,-119.342937
36.264954,-119.341621
36.264954,-119.341621
36.264954,-119.341621
36.209774,-119.365169
36.209774,-119.365169
36.195053,-119.379959
36.180772,-119.357163
36.189011,-119.372766
36.18457,-119.364223
36.186996,-119.362793
36.178482,-119.354153
36.188461,-119.354954
36.181982,-119.370195
36.171799,-119.373951
36.17593,-119.373585
36.158066,-119.362736
36.158066,-119.362736
36.165642,-119.37189
36.158066,-119.362736
36.158066,-119.362736
36.158066,-119.362736
36.194412,-119.355469
36.158066,-119.362736
36.186963,-119.374636
36.194412,-119.355469
36.180588,-119.377899
36.186963,-119.374636
36.158661,-119.364967
36.180588,-119.377899
36.158661,-119.364967
36.158661,-119.364967
36.158661,-119.364967
36.55481,-119.272671
36.535767,-119.273529
36.561243,-119.284174
36.535767,-119.273529
36.54776,-119.269466
36.561243,-119.284174
36.549093,-119.31053
36.555634,-119.306488
36.559474,-119.301121
36.549093,-119.31053
36.549093,-119.31053
36.549093,-119.31053
36.549093,-119.31053
36.533295,-119.302597
36.53627,-119.275303
36.550781,-119.273014
36.550781,-119.273014
36.53627,-119.275303
36.562267,-119.29294
36.550598,-119.311924
36.555725,-119.309521
36.561447,-119.302425
36.534196,-119.303751
36.550598,-119.311924
36.538107,-119.27535
36.531738,-119.290409
36.54039,-119.273758
36.553802,-119.272556
36.564011,-119.289436
36.531962,-119.287915
36.553802,-119.272556
36.563524,-119.298784
36.556641,-119.310322
36.531693,-119.303913
36.532101,-119.304862
36.082855,-119.315186
