latitude,longitude
34.208588,-119.081651
34.205653,-119.083557
34.199432,-119.077559
34.195221,-119.071898
34.184193,-119.056835
34.190735,-119.065957
34.180096,-119.050655
34.173798,-119.041854
34.169952,-119.036137
34.169952,-119.036137
34.157379,-119.026966
34.164139,-119.03098
34.136902,-119.013435
34.149558,-119.022045
34.145787,-119.01947
34.133125,-119.010715
34.111496,-118.999366
34.125025,-119.005623
34.119324,-119.002729
34.107149,-118.996468
34.10375,-118.991776
34.104821,-118.980331
34.102112,-118.983951
34.108778,-118.987141
34.104821,-118.980331
34.1082,-118.981821
34.107288,-118.991318
34.103027,-118.9969
34.090437,-118.995552
34.097792,-118.998871
34.092857,-118.992748
34.088562,-118.993424
34.088562,-118.993424
34.096298,-118.99505
34.104449,-118.999329
34.100492,-118.99744
34.108521,-119.000039
34.121161,-118.999844
34.11213,-118.999901
34.117763,-118.998013
34.11937,-119.007101
34.108063,-119.017135
34.113693,-119.013547
34.075974,-119.009904
34.098083,-119.0182
34.091309,-119.016854
34.082794,-119.014668
34.07016,-118.998805
34.06778,-118.990454
34.07016,-118.998805
34.065353,-118.982774
34.054688,-118.954636
34.061388,-118.973007
34.057526,-118.964165
34.053497,-118.948806
34.063248,-118.937372
34.056407,-118.939362
34.067626,-118.936787
34.084396,-118.934569
34.073073,-118.935928
34.078857,-118.935634
34.090437,-118.934441
34.103485,-118.930645
34.093781,-118.933728
34.106171,-118.929691
34.106171,-118.929691
34.108978,-118.915399
34.106171,-118.929691
34.106963,-118.906803
34.103302,-118.891801
34.105194,-118.898735
34.099319,-118.881823
34.097699,-118.873558
34.10538,-118.85931
34.099933,-118.867321
34.110919,-118.855934
34.129532,-118.852676
34.11632,-118.854332
34.121952,-118.853531
34.135732,-118.8521
34.148346,-118.850042
34.140747,-118.851723
34.140747,-118.851723
34.162313,-118.844604
34.154818,-118.848152
34.167068,-118.84169
34.173935,-118.837934
34.185883,-118.832946
34.173935,-118.837934
34.182632,-118.834179
34.192712,-118.830643
34.206161,-118.826948
34.197601,-118.829078
34.201584,-118.828013
34.224274,-118.824406
34.213614,-118.82555
34.229645,-118.823697
34.218269,-118.824806
34.229645,-118.823697
34.237381,-118.82308
34.244339,-118.823697
34.262587,-118.828011
34.249649,-118.824482
34.256836,-118.826163
34.271664,-118.830814
34.277577,-118.832245
34.28421,-118.834347
34.28421,-118.834347
34.296936,-118.841634
34.292939,-118.838539
34.316116,-118.85929
34.302482,-118.846607
34.309279,-118.853073
34.333719,-118.871555
34.322159,-118.863606
34.328132,-118.867321
34.339737,-118.875714
34.345589,-118.879108
34.355576,-118.883953
34.345589,-118.879108
34.349396,-118.880871
34.362991,-118.887036
34.369657,-118.888664
34.384973,-118.893585
34.379105,-118.891521
34.390233,-118.89576
34.397324,-118.900321
34.404943,-118.906689
34.402197,-118.904572
34.404943,-118.906689
34.404943,-118.906689
34.425522,-118.932213
34.425426,-118.94136
34.425426,-118.94136
34.419113,-118.972794
34.421425,-118.961334
34.418304,-118.977242
34.418026,-118.979874
34.42119,-118.999386
34.418026,-118.979874
34.418884,-118.991074
34.423704,-119.005966
34.43454,-119.000711
34.42687,-119.007568
34.429756,-119.00259
34.439252,-119.003849
34.43469,-119.021015
34.438385,-119.012763
34.438385,-119.012763
34.431656,-119.029859
34.429104,-119.047909
34.429825,-119.039724
34.428918,-119.055233
34.428964,-119.066734
34.428592,-119.087963
34.428452,-119.079666
34.430374,-119.104128
34.430374,-119.104128
34.430873,-119.124584
34.431292,-119.112225
34.430603,-119.128792
34.429663,-119.142723
34.426941,-119.161526
34.428685,-119.150391
34.426163,-119.167132
34.42511,-119.179744
34.424449,-119.185696
34.424449,-119.185696
34.420026,-119.216537
34.421631,-119.20323
34.4198,-119.218868
34.419296,-119.224081
34.419296,-119.224081
34.411694,-119.242287
34.405563,-119.247063
34.375992,-119.23389
34.396471,-119.248924
34.386928,-119.244862
34.381439,-119.239776
34.354477,-119.213768
34.367706,-119.226211
34.362167,-119.221166
34.354477,-119.213768
34.347358,-119.205894
34.334789,-119.19136
34.342424,-119.199829
34.330994,-119.187255
34.32399,-119.178454
34.317844,-119.170189
34.313599,-119.163769
34.305508,-119.153309
34.300201,-119.148788
34.291077,-119.142723
34.291077,-119.142723
34.287323,-119.140787
34.275342,-119.136829
34.267822,-119.133556
34.260452,-119.128848
34.253036,-119.12442
34.244012,-119.122009
34.228409,-119.121281
34.237747,-119.121561
34.228409,-119.121281
34.205246,-119.10794
34.219433,-119.120407
34.215042,-119.118926
34.204102,-119.097626
34.203884,-119.089622
34.206345,-119.06932
34.20369,-119.076158
34.206345,-119.06932
34.210588,-119.070282
34.211286,-119.079895
34.211659,-119.075546
34.209331,-119.080067
34.20911,-119.080038
34.209148,-119.080138
34.209148,-119.080138
34.209148,-119.080138
34.209148,-119.080138
34.209148,-119.080138
34.209148,-119.080138
34.209148,-119.080138
34.209156,-119.080138
34.209156,-119.080138
34.209156,-119.080153
34.209148,-119.080152
34.209156,-119.080153
34.209156,-119.080153
34.209156,-119.080153
34.209156,-119.080153
34.20916,-119.080152
34.209148,-119.080152
34.209137,-119.080194
34.20916,-119.080152
34.209412,-119.08025
34.212616,-119.080586
34.209412,-119.08025
34.22069,-119.090767
34.21669,-119.082716
34.234423,-119.107246
34.229535,-119.104099
34.222549,-119.096842
34.259375,-119.120579
34.241089,-119.110799
34.247406,-119.11405
34.254673,-119.118004
34.277623,-119.12899
34.269928,-119.125372
34.269928,-119.125372
34.263977,-119.122738
34.282883,-119.131451
34.291306,-119.135462
34.31131,-119.146504
34.296896,-119.138317
34.303879,-119.142094
34.320777,-119.152737
34.346878,-119.166964
34.339966,-119.163544
34.327469,-119.157266
34.333054,-119.160237
34.366974,-119.176605
34.346878,-119.166964
34.354202,-119.170439
34.373521,-119.179459
34.361184,-119.173908
34.381393,-119.185405
34.394981,-119.200459
34.385559,-119.189945
34.400208,-119.206537
34.390823,-119.195719
34.419846,-119.229406
34.405426,-119.21259
34.410416,-119.218532
34.415231,-119.224205
34.438135,-119.250984
34.433433,-119.245205
34.427754,-119.238281
34.441177,-119.254742
34.454681,-119.270717
34.448703,-119.263802
34.458755,-119.275145
34.448703,-119.263802
34.46727,-119.284114
34.482697,-119.300873
34.470675,-119.28772
34.487853,-119.306202
34.476587,-119.2939
34.498856,-119.339942
34.491257,-119.313934
34.493454,-119.322734
34.49556,-119.330974
34.501539,-119.352322
34.501694,-119.351153
34.501027,-119.345226
34.501539,-119.352322
34.503708,-119.355413
34.504612,-119.359531
34.503708,-119.355413
34.501307,-119.350662
34.501307,-119.350662
34.501307,-119.350662
34.502145,-119.349003
34.503113,-119.352554
34.501307,-119.349346
34.501307,-119.349346
34.501307,-119.349346
34.501307,-119.349346
34.501307,-119.349346
34.501307,-119.349346
34.501307,-119.349346
34.502796,-119.353065
34.501307,-119.349346
34.502472,-119.351769
34.498886,-119.346886
34.495102,-119.342408
34.4879,-119.334812
34.491028,-119.337868
34.480179,-119.327667
34.483612,-119.330469
34.480179,-119.327667
34.47226,-119.323631
34.466995,-119.321725
34.45697,-119.318866
34.454361,-119.318138
34.437469,-119.313093
34.447399,-119.316101
34.437469,-119.313093
34.413369,-119.306488
34.422587,-119.308949
34.413369,-119.306488
34.399612,-119.302779
34.403961,-119.304012
34.390279,-119.300137
34.375429,-119.295673
34.382552,-119.297962
34.367752,-119.293194
34.345596,-119.287253
34.361743,-119.291325
34.355988,-119.289943
34.34111,-119.285963
34.326689,-119.280396
34.332415,-119.283199
34.318909,-119.274304
34.313965,-119.270157
34.307877,-119.265056
34.301597,-119.259624
34.294418,-119.253621
34.284348,-119.245493
34.288842,-119.248695
34.284348,-119.245493
34.275947,-119.247379
34.278671,-119.244092
34.275901,-119.24984
34.276087,-119.251785
34.276087,-119.251785
34.276087,-119.251785
34.267456,-119.246895
34.276886,-119.253285
34.502982,-119.350777
34.27227,-119.255047
34.265305,-119.240393
34.265305,-119.240393
34.262466,-119.232097
34.25053,-119.206982
34.258026,-119.221783
34.25473,-119.215169
34.233673,-119.174643
34.239078,-119.181519
34.246674,-119.198633
34.242966,-119.190113
34.218781,-119.144897
34.229116,-119.169617
34.22609,-119.163036
34.222458,-119.153399
34.212799,-119.13507
34.206957,-119.1255
34.204926,-119.106427
34.205095,-119.092026
34.205109,-119.081988
34.206957,-119.1255
34.204908,-119.101009
34.205109,-119.081988
34.215179,-119.138657
34.21106,-119.074813
34.206724,-119.073944
34.210464,-119.08025
34.20916,-119.080082
34.211517,-119.078456
34.209156,-119.080167
34.209148,-119.080152
34.209156,-119.080167
34.209148,-119.080152
34.209156,-119.080153
34.209156,-119.080153
34.448959,-119.015677
34.209156,-119.080167
34.209156,-119.080167
34.448889,-119.01495
34.448889,-119.01495
34.448889,-119.01495
34.449417,-119.016406
34.213211,-119.080026
34.153608,-119.023876
34.448959,-119.015677
34.221341,-119.091797
34.21875,-119.083893
34.222738,-119.096832
34.266357,-119.119655
34.229488,-119.1045
34.236374,-119.108108
34.236374,-119.108108
34.245117,-119.112424
34.251205,-119.115339
34.255744,-119.116974
34.280685,-119.123355
34.272921,-119.121323
34.296663,-119.123096
34.288656,-119.124413
34.352554,-119.104297
34.320125,-119.115314
34.304443,-119.121225
34.312165,-119.118462
34.328201,-119.112424
34.334564,-119.110126
34.342758,-119.10738
34.374207,-119.098299
34.356812,-119.103063
34.36691,-119.100266
34.389255,-119.093628
34.374207,-119.098299
34.380341,-119.096673
34.443054,-119.064107
34.393724,-119.092083
34.416954,-119.084415
34.437286,-119.078849
34.203278,-119.078176
34.401215,-119.089387
34.410507,-119.086192
34.424561,-119.082492
34.208862,-119.080586
34.432526,-119.081876
34.20556,-119.080868
34.437286,-119.078849
34.199158,-119.073356
34.1922,-119.065172
34.447174,-119.04645
34.446282,-119.052086
34.188492,-119.060071
34.447174,-119.04645
34.163498,-119.032157
34.167847,-119.036305
34.447174,-119.04645
34.173905,-119.042244
34.130997,-119.004747
34.151839,-119.022274
34.448377,-119.019699
34.125229,-118.999422
34.147556,-119.018612
34.449875,-119.017135
34.135965,-119.009228
34.448377,-119.019699
34.44936,-119.016784
34.448935,-119.01638
34.125229,-118.999422
34.115479,-118.988828
34.44976,-119.017107
34.112223,-118.981991
34.449971,-119.017267
34.450012,-119.017261
34.449989,-119.017261
34.110547,-118.980274
34.450006,-119.017267
34.109151,-118.973007
34.450012,-119.017261
34.107285,-118.97644
34.110256,-118.969288
34.111404,-118.968313
34.449727,-119.018269
34.110397,-118.968985
34.448051,-119.020329
34.110233,-118.969388
34.448051,-119.020329
34.448051,-119.020329
34.110256,-118.969402
34.448051,-119.020329
34.448868,-119.019993
34.110268,-118.969417
34.448135,-119.019209
34.448868,-119.019993
34.449971,-119.017253
