latitude,longitude
38.568762,-121.743225
38.575516,-121.748697
38.556519,-121.752869
38.570892,-121.761176
38.567825,-121.761116
38.577393,-121.755981
38.557356,-121.75769
38.575378,-121.748637
38.56778,-121.746846
38.560318,-121.747145
38.56778,-121.746846
38.588407,-121.753113
38.582634,-121.75116
38.618317,-121.761654
38.594505,-121.754883
38.599672,-121.756165
38.614243,-121.76028
38.599672,-121.756165
38.608978,-121.758549
38.625276,-121.76355
38.637426,-121.764343
38.63063,-121.764282
38.625276,-121.76355
38.654092,-121.758118
38.645462,-121.762728
38.657863,-121.757324
38.643106,-121.76355
38.679657,-121.753295
38.665218,-121.755737
38.676344,-121.75415
38.667453,-121.755432
38.679657,-121.753295
38.687805,-121.750249
38.692591,-121.765564
38.692291,-121.781298
38.692566,-121.773476
38.692429,-121.756101
38.676297,-121.800781
38.692172,-121.786255
38.683914,-121.800882
38.692017,-121.792344
38.676297,-121.800781
38.669174,-121.800345
38.682266,-121.775506
38.659399,-121.79126
38.660019,-121.773476
38.670665,-121.770996
38.663727,-121.799389
38.659073,-121.783447
38.665741,-121.770968
38.676297,-121.772156
38.686399,-121.781433
38.688541,-121.787354
38.70083,-121.817017
38.690077,-121.79364
38.696365,-121.808943
38.693336,-121.802673
38.696365,-121.808943
38.704601,-121.82312
38.704601,-121.82312
38.72905,-121.84847
38.716891,-121.837219
38.711165,-121.830566
38.720196,-121.840881
38.725364,-121.84613
38.733307,-121.85241
38.726481,-121.866394
38.731974,-121.860962
38.724153,-121.86853
38.70282,-121.878861
38.714238,-121.875427
38.707255,-121.878296
38.69422,-121.877869
38.69422,-121.877869
38.681946,-121.879757
38.6884,-121.87707
38.666056,-121.88916
38.674713,-121.884951
38.670991,-121.887024
38.658279,-121.87904
38.658701,-121.885498
38.665833,-121.875697
38.665833,-121.875697
38.662399,-121.877189
38.665833,-121.875697
38.665833,-121.875697
38.663635,-121.875697
38.669907,-121.873846
38.659973,-121.880234
38.669769,-121.873607
38.663635,-121.895162
38.668945,-121.894564
38.663635,-121.895162
38.659332,-121.889967
38.688075,-121.881897
38.676819,-121.889191
38.682312,-121.885131
38.706711,-121.867158
38.700179,-121.875854
38.688075,-121.881897
38.715683,-121.849007
38.710001,-121.860046
38.715683,-121.849007
38.723641,-121.829773
38.719358,-121.841064
38.727319,-121.82196
38.723269,-121.809204
38.723269,-121.809204
38.727493,-121.81563
38.725596,-121.809814
38.716827,-121.813899
38.721407,-121.816589
38.7117,-121.815152
38.721174,-121.806763
38.716232,-121.817242
38.71637,-121.807211
38.721453,-121.811584
38.715122,-121.811768
38.719172,-121.818115
38.713819,-121.810486
38.713819,-121.810486
38.714843,-121.814575
38.719544,-121.805908
38.716141,-121.806196
38.722458,-121.814675
38.71907,-121.817899
38.723362,-121.812866
38.714355,-121.80954
38.714843,-121.814575
38.719803,-121.805718
38.714355,-121.80954
38.722321,-121.80739
38.723465,-121.814615
38.71582,-121.816589
38.721546,-121.81665
38.716146,-121.808044
38.723734,-121.808716
38.721546,-121.81665
38.717682,-121.817749
38.718194,-121.804565
38.717682,-121.817749
38.713669,-121.812227
38.714191,-121.809021
38.724335,-121.808405
38.720581,-121.804823
38.722595,-121.804524
38.721779,-121.817383
38.715225,-121.815391
38.72527,-121.810242
38.715075,-121.817261
38.718101,-121.803284
38.713446,-121.807434
38.725433,-121.814316
38.719917,-121.818848
38.715958,-121.803629
38.725433,-121.814316
38.71326,-121.81073
38.720708,-121.802795
38.71326,-121.81073
38.726201,-121.812744
38.719638,-121.817932
38.719917,-121.804626
38.724619,-121.806274
38.71177,-121.803284
38.719917,-121.804626
38.709955,-121.822083
38.706789,-121.806641
38.73095,-121.825439
38.714584,-121.822317
38.708862,-121.814555
38.725296,-121.822914
38.757205,-121.8479
38.736769,-121.830627
38.745428,-121.83783
38.736769,-121.830627
38.75134,-121.842896
38.768097,-121.856471
38.76051,-121.851135
38.778763,-121.867517
38.774734,-121.863098
38.787371,-121.877258
38.784393,-121.873786
38.784393,-121.873786
38.800552,-121.889728
38.795052,-121.88446
38.808087,-121.898743
38.800552,-121.889728
38.820656,-121.912292
38.815292,-121.906745
38.826645,-121.91797
38.823715,-121.92812
38.80394,-121.944182
38.797302,-121.947526
38.791855,-121.949377
38.828384,-121.922568
38.818634,-121.931822
38.80394,-121.944182
38.770426,-121.953186
38.786362,-121.951108
38.752396,-121.952661
38.762329,-121.953019
38.779678,-121.953019
38.739029,-121.951168
38.747336,-121.952271
38.725021,-121.947824
38.731415,-121.949463
38.709412,-121.945376
38.715727,-121.946167
38.715727,-121.946167
38.691892,-121.943542
38.701715,-121.94458
38.683456,-121.943107
38.646057,-121.941794
38.676437,-121.943054
38.657211,-121.942322
38.667685,-121.942871
38.650973,-121.9422
38.635006,-121.9422
38.6182,-121.941772
38.628116,-121.941956
38.611311,-121.941772
38.597626,-121.941913
38.602698,-121.941956
38.586871,-121.941772
38.578354,-121.941734
38.602698,-121.941956
38.570938,-121.942092
38.556747,-121.942868
38.561737,-121.94251
38.527542,-121.941077
38.547208,-121.9422
38.53017,-121.937866
38.539108,-121.936096
38.53017,-121.937866
38.530542,-121.953003
38.531708,-121.95893
38.52626,-121.948242
38.529648,-121.970513
38.520264,-121.969618
38.524863,-121.963318
38.520676,-121.967289
38.531387,-121.964901
38.536455,-121.94751
38.533493,-121.955407
38.535663,-121.926331
38.537805,-121.943848
38.533056,-121.930054
38.541389,-121.932556
38.526352,-121.946212
38.533056,-121.930054
38.529518,-121.937622
38.536011,-121.949496
38.537842,-121.934032
38.537567,-121.943227
38.53038,-121.954034
38.532637,-121.936157
38.526725,-121.948181
38.531054,-121.939697
38.537842,-121.934032
38.529648,-121.960423
38.526725,-121.948181
38.53678,-121.955872
38.53678,-121.955872
38.540039,-121.939047
38.537246,-121.950806
38.533568,-121.937256
38.53894,-121.936778
38.527954,-121.94866
38.529373,-121.941734
38.538689,-121.946777
38.527954,-121.94866
38.530792,-121.952661
38.529844,-121.941284
38.529844,-121.941284
38.538574,-121.94245
38.530792,-121.952661
38.527954,-121.946869
38.538437,-121.938689
38.539015,-121.943542
38.534363,-121.936599
38.527191,-121.95697
38.542693,-121.938416
38.532032,-121.95813
38.540551,-121.946106
38.527954,-121.946869
38.536641,-121.952576
38.535782,-121.932778
38.538224,-121.932922
38.527542,-121.941853
38.529611,-121.938232
38.527588,-121.952422
38.538736,-121.930786
38.527588,-121.952422
38.54155,-121.940659
38.528915,-121.954332
38.528915,-121.954332
38.528503,-121.938092
38.528503,-121.938092
38.532172,-121.932922
38.525561,-121.944458
38.529425,-121.958679
38.524537,-121.953918
38.541641,-121.941137
38.534267,-121.956177
38.541641,-121.941137
38.536501,-121.95166
38.541641,-121.941137
38.541641,-121.941137
38.541641,-121.941137
38.541641,-121.941137
38.541641,-121.941137
38.541641,-121.941137
38.540644,-121.941345
38.536011,-121.951108
38.539398,-121.936062
38.531846,-121.936035
38.525329,-121.945984
38.526772,-121.942139
38.538254,-121.948899
38.527796,-121.95575
38.527796,-121.95575
38.540359,-121.940659
38.529007,-121.940301
38.526581,-121.945973
38.526581,-121.945973
38.534546,-121.935486
38.530563,-121.953855
38.534127,-121.934631
38.539667,-121.94574
38.53299,-121.953198
38.540505,-121.937134
38.529751,-121.938538
38.536129,-121.935669
38.525887,-121.946655
38.533336,-121.954773
38.537613,-121.949556
38.524863,-121.949524
38.540318,-121.940063
38.536129,-121.935669
38.540955,-121.936718
38.526581,-121.946033
38.53017,-121.957886
38.528773,-121.941467
38.524444,-121.951965
38.536967,-121.952393
38.539627,-121.945555
38.528595,-121.954273
38.535507,-121.93439
38.526818,-121.945801
38.529751,-121.93988
38.528595,-121.954273
38.533661,-121.962891
38.534271,-121.956243
38.524398,-121.962341
38.525757,-121.962692
38.520254,-121.992249
38.516251,-121.971252
38.513272,-121.986267
38.514203,-121.976501
38.513272,-121.986267
38.527191,-121.99408
38.534034,-121.990417
38.536011,-121.972484
38.536011,-121.979947
38.521418,-121.96991
38.532823,-121.966187
38.528091,-121.96514
38.518532,-122.009949
38.519119,-121.984724
38.518951,-121.99646
38.519835,-121.974731
38.519119,-121.984724
38.517508,-122.028198
38.518811,-122.0047
38.517792,-122.021683
38.517508,-122.051697
38.517694,-122.0401
38.516949,-122.059448
38.515823,-122.068256
38.517471,-122.032909
38.500749,-122.09906
38.515503,-122.072137
38.511154,-122.087243
38.506485,-122.09411
38.514496,-122.080675
38.511154,-122.087243
38.498701,-122.104797
38.508774,-122.113694
38.502332,-122.112122
38.509501,-122.093567
38.515599,-122.111023
38.517563,-122.102887
38.513947,-122.096319
38.500889,-122.102661
38.504892,-122.093994
38.507492,-122.114052
38.502411,-122.110708
38.517834,-122.09375
38.514435,-122.109802
38.52063,-122.075361
38.54488,-122.061462
38.562244,-122.065552
38.514435,-122.109802
38.516785,-122.101095
38.519257,-122.084914
38.523926,-122.067121
38.530496,-122.0625
38.536148,-122.061807
38.549606,-122.062285
38.55731,-122.064026
38.571167,-122.066405
38.578072,-122.06781
38.578072,-122.06781
38.585083,-122.068435
38.599045,-122.068793
38.592084,-122.068298
38.626533,-122.06897
38.606376,-122.068787
38.613545,-122.068726
38.619411,-122.068787
38.641802,-122.069702
38.634773,-122.069641
38.651413,-122.06748
38.646103,-122.065688
38.640747,-122.072734
38.650177,-122.071898
38.650177,-122.071898
38.650497,-122.060852
38.633795,-122.070923
38.635162,-122.065211
38.650497,-122.060852
38.666107,-122.073391
38.654343,-122.062703
38.658966,-122.066047
38.669547,-122.077454
38.640198,-122.062882
38.674118,-122.08169
38.716891,-122.139587
38.681671,-122.088497
38.68959,-122.101633
38.702413,-122.120911
38.710968,-122.132562
38.721634,-122.146116
38.684537,-122.093018
38.692291,-122.105992
38.698608,-122.115485
38.706894,-122.127248
38.710968,-122.132562
38.754738,-122.177185
38.73056,-122.156863
38.73555,-122.162117
38.743426,-122.17334
38.724518,-122.149997
38.740128,-122.168208
38.749374,-122.17991
38.760269,-122.164446
38.758438,-122.167611
38.754738,-122.177185
38.760269,-122.164446
38.760269,-122.164446
38.757671,-122.149597
38.75972,-122.146235
38.765121,-122.165521
38.760498,-122.161938
38.763245,-122.164147
38.765121,-122.165521
38.911606,-122.260815
38.765121,-122.165521
38.918335,-122.248276
38.916046,-122.254247
38.950211,-122.19165
38.921585,-122.240395
38.924048,-122.23468
38.928611,-122.224365
38.932102,-122.219116
38.937083,-122.213135
38.939758,-122.209108
38.945928,-122.199158
38.950211,-122.19165
38.950012,-122.168984
38.949606,-122.175232
38.924048,-122.23468
38.946906,-122.151672
38.950012,-122.168984
38.950012,-122.168984
38.946906,-122.151672
38.938107,-122.128601
38.938293,-122.129039
38.92619,-122.094727
38.932893,-122.114014
38.932893,-122.114014
38.923583,-122.085449
38.923676,-122.085754
38.920898,-122.074167
38.920898,-122.074167
38.918015,-122.054045
38.920898,-122.074167
38.893184,-122.01239
38.918015,-122.054045
38.910828,-122.028072
38.906638,-122.021179
38.881127,-122.016846
38.918015,-122.054045
38.899292,-122.015832
38.892014,-122.011772
38.877682,-122.020935
38.877682,-122.020935
38.885147,-122.028729
38.875351,-122.025146
38.889739,-122.024109
38.902914,-122.007446
38.894488,-122.018311
38.898259,-122.013489
38.907709,-122.002197
38.91525,-121.991943
38.912643,-122.000366
38.866013,-121.94872
38.908722,-121.980724
38.905474,-121.977234
38.884805,-121.966431
38.878052,-121.961497
38.858002,-121.941017
38.91525,-121.991943
38.899376,-121.972473
38.890366,-121.968364
38.874284,-121.957581
38.861298,-121.944242
38.833511,-121.915821
38.858002,-121.941017
38.851456,-121.933972
38.84317,-121.925135
38.838811,-121.921143
38.827835,-121.910447
38.81575,-121.897371
38.821289,-121.903222
38.807575,-121.888062
38.810577,-121.891758
38.802361,-121.882385
38.807575,-121.888062
38.780435,-121.871033
38.796707,-121.875338
38.790939,-121.871099
38.782949,-121.868591
38.772986,-121.884827
38.775268,-121.87793
38.77308,-121.901184
38.772949,-121.894744
38.774243,-121.918762
38.773315,-121.909074
38.775919,-121.932495
38.775009,-121.924777
38.766376,-121.946289
38.775919,-121.932495
38.773312,-121.947571
38.77713,-121.942993
38.745614,-121.94873
38.757843,-121.947108
38.752487,-121.948003
38.73216,-121.951477
38.72662,-121.952454
38.737656,-121.950272
38.694534,-121.950213
38.709869,-121.953019
38.72662,-121.952454
38.712515,-121.953308
38.699661,-121.95069
38.686399,-121.948914
38.677275,-121.948181
38.682722,-121.948425
38.682722,-121.948425
38.66843,-121.948242
38.640638,-121.948242
38.663542,-121.948181
38.655716,-121.948003
38.652145,-121.947944
38.627418,-121.948181
38.63269,-121.948481
38.620743,-121.948063
38.620743,-121.948063
38.614243,-121.948302
38.586456,-121.9486
38.601302,-121.947876
38.606323,-121.947884
38.593735,-121.948123
38.575652,-121.948975
38.556705,-121.946411
38.580586,-121.948914
38.567319,-121.949524
38.56122,-121.948792
38.550374,-121.946106
38.526446,-121.957764
38.541275,-121.947824
38.556705,-121.946411
38.537521,-121.948302
38.529099,-121.952362
38.522003,-121.974514
38.524025,-121.965332
38.51889,-121.987112
38.519852,-121.982336
38.527098,-121.985474
38.520813,-121.992676
38.527098,-121.985474
38.526123,-121.967827
38.528215,-121.975281
38.525482,-121.96293
38.521791,-121.96637
38.515503,-121.980067
38.531148,-121.982727
38.531021,-121.966274
38.517275,-121.973999
38.518811,-121.986694
38.525049,-121.987732
38.531708,-121.976007
38.51976,-121.965558
38.519394,-121.972484
38.53212,-121.936062
38.519394,-121.972484
38.528229,-121.968961
38.528913,-121.966187
38.531342,-121.944361
38.532623,-121.929374
38.524816,-121.974548
38.530655,-121.951168
38.533264,-121.919821
38.533264,-121.919821
38.537572,-121.872803
38.53537,-121.904237
38.537292,-121.888916
38.537659,-121.882503
38.536501,-121.896973
38.537567,-121.864651
38.537572,-121.872803
38.537567,-121.848171
38.537888,-121.839872
38.537521,-121.85659
38.537479,-121.817322
38.53775,-121.826079
38.535873,-121.799927
38.537018,-121.808943
38.539673,-121.749234
38.535873,-121.799927
38.532917,-121.784546
38.533289,-121.76532
38.534912,-121.794374
38.531662,-121.773775
38.536148,-121.757176
38.54567,-121.740816
38.549835,-121.731023
38.54567,-121.740816
38.563705,-121.670419
38.551758,-121.724515
38.557124,-121.703796
38.554504,-121.712215
38.559731,-121.695862
38.561407,-121.689209
38.563934,-121.682958
38.554517,-121.67749
38.561174,-121.669678
38.55011,-121.693765
38.551575,-121.685287
38.555969,-121.70929
38.552003,-121.702454
38.560638,-121.71532
38.555969,-121.70929
38.589245,-121.734253
38.570755,-121.723918
38.583984,-121.732516
38.566015,-121.720642
38.57635,-121.727844
38.605538,-121.735291
